timestamp_ms,ax,ay,az,gx,gy,gz,tempC
797686,0.56364,-0.024888,1.011624,-21.77,-17.780001,-2.38,21.66
797699,0.667096,-0.271816,1.001376,-33.740002,-16.1,0.42,21.64
797710,0.672952,-0.225944,0.989664,-31.85,-15.47,-2.94,21.64
797722,0.642208,-0.18056,0.987712,-32.900002,-17.219999,-0.7,21.59
797734,0.664656,-0.22204,0.963312,-31.5,-17.15,-2.24,21.59
797746,0.646112,-0.203984,0.947696,-28.98,-18.620001,-2.03,21.61
797758,0.655384,-0.188368,0.91744,-26.18,-18.34,-1.82,21.62
797770,0.637328,-0.200568,0.882304,-24.08,-17.5,-0.42,21.62
797782,0.63196,-0.17568,0.87596,-24.5,-17.15,1.26,21.61
797794,0.639768,-0.148352,0.872544,-26.040001,-14.07,1.05,21.62
797806,0.630984,-0.116632,0.850584,-26.879999,-12.32,1.75,21.62
797817,0.649528,-0.076616,0.824232,-29.540001,-10.29,3.85,21.66
797830,0.627568,-0.035136,0.817888,-35.139999,-8.33,6.86,21.66
797841,0.637328,-0.02928,0.77592,-39.200001,-2.87,9.03,21.66
797853,0.616344,-0.06588,0.7808,-43.330002,-0.91,11.83,21.64
797864,0.610976,-0.040504,0.807152,-42.560001,0.63,12.67,21.64
797876,0.596824,-0.031232,0.822768,-39.48,1.82,14.56,21.61
797888,0.57584,0.0122,0.815448,-37.240002,1.19,17.15,21.64
797899,0.609512,0.045384,0.799344,-39.970001,3.43,22.049999,21.64
797911,0.601216,0.023424,0.794464,-46.200001,6.58,26.879999,21.64
797922,0.588528,-0.0244,0.82228,-53.830002,12.04,29.75,21.6
797934,0.560224,-0.096624,0.828624,-58.869999,16.17,31.219999,21.6
797945,0.529968,-0.142008,0.85156,-56.139999,16.450001,32.130001,21.61
797957,0.530456,-0.17568,0.81252,-44.66,17.15,31.5,21.61
797968,0.526552,-0.164944,0.792024,-29.889999,18.690001,32.060001,21.62
797980,0.53192,-0.162016,0.704184,-11.83,23.24,31.85,21.6
797992,0.49532,-0.110288,0.651968,13.3,28.629999,29.26,21.6
798004,0.450912,-0.042944,0.623176,31.709999,30.799999,27.58,21.65
798016,0.425536,0.040992,0.671,30.17,30.940001,30.940001,21.6
798027,0.454816,0.069784,0.723704,8.05,33.32,36.400002,21.6
