timestamp_ms,ax,ay,az,gx,gy,gz,tempC
138239,0.198616,-0.065392,0.99064,-1.61,1.12,-4.2,20.47
138251,0.199104,-0.067832,0.993568,-1.05,0.42,-4.06,20.47
138264,0.202032,-0.060512,0.996984,-0.14,-0.63,-4.41,20.47
138276,0.21228,-0.052216,1.002352,-0.84,-1.19,-4.48,20.47
138288,0.216672,-0.05856,1.004792,-1.96,-1.12,-4.62,20.48
138299,0.213744,-0.066856,1.00772,-2.24,-1.75,-4.62,20.44
138312,0.208864,-0.074176,1.01992,-2.45,-2.8,-4.76,20.44
138324,0.202032,-0.080032,1.02968,-1.47,-4.48,-5.81,20.5
138335,0.201544,-0.070272,1.037488,-0.07,-6.44,-6.51,20.45
138347,0.206424,-0.061976,1.030168,-0.28,-7.35,-7.0,20.45
138358,0.202032,-0.066856,1.031144,-0.42,-7.98,-6.93,20.47
138371,0.201544,-0.057096,1.039928,-1.26,-8.61,-6.02,20.48
138382,0.201056,-0.063928,1.039928,-1.4,-9.03,-5.74,20.48
138394,0.186904,-0.046848,1.043832,-1.12,-9.52,-5.53,20.48
138406,0.183,-0.050752,1.038464,-2.1,-9.17,-5.25,20.48
138417,0.171776,-0.05856,1.0248,-3.15,-8.82,-4.83,20.46
138428,0.166408,-0.054656,1.016016,-4.34,-8.19,-3.29,20.48
138440,0.159576,-0.045872,1.017968,-7.07,-7.7,-1.61,20.48
138452,0.158112,-0.054656,1.017968,-9.03,-6.44,-0.98,20.46
138463,0.148352,-0.075152,1.005768,-8.47,-5.67,-0.35,20.39
138474,0.143472,-0.077104,0.996496,-7.77,-4.83,-0.07,20.39
138486,0.137128,-0.09516,0.987712,-6.93,-3.71,0.21,20.46
138497,0.138104,-0.114192,0.99064,-4.41,-2.52,0.21,20.46
138509,0.137616,-0.114192,0.989176,-1.96,-1.33,0.28,20.47
138520,0.137128,-0.112728,0.978928,0.14,-0.14,0.49,20.46
138532,0.140544,-0.106872,0.969656,1.19,1.26,0.56,20.46
138544,0.14396,-0.100528,0.967216,1.54,2.94,0.77,20.43
138555,0.143472,-0.101016,0.9638,0.14,5.04,1.33,20.43
138567,0.1464,-0.104432,0.965752,-0.28,6.79,1.47,20.48
138578,0.151768,-0.108824,0.9638,-0.49,8.89,1.26,20.49
138591,0.15616,-0.108336,0.970632,-1.05,11.48,0.77,20.49
138602,0.159576,-0.10248,0.982832,-3.29,14.28,0.56,20.46
138614,0.15128,-0.110776,0.996496,-5.81,16.309999,1.05,20.48
138625,0.151768,-0.123952,1.004792,-7.35,16.799999,1.61,20.48
138637,0.149816,-0.142496,1.003816,-6.02,15.96,1.4,20.43
138649,0.152744,-0.136152,1.003816,-3.64,14.14,0.77,20.43
138661,0.164944,-0.131272,1.009184,-1.33,12.6,-0.14,20.44
138673,0.164456,-0.108824,1.024312,-0.63,10.43,-0.7,20.45
138684,0.167384,-0.095648,1.033096,-2.03,8.54,-0.98,20.45
138696,0.162016,-0.101504,1.026752,-2.73,6.02,-1.47,20.47
138709,0.15128,-0.10248,1.016992,-2.1,2.87,-2.31,20.48
138720,0.148352,-0.104432,1.01992,-0.49,-0.28,-2.94,20.48
138733,0.147376,-0.10492,1.025776,1.05,-3.29,-3.43,20.46
138745,0.148352,-0.09272,1.030656,2.38,-4.97,-3.78,20.42
138757,0.145424,-0.081984,1.02724,2.31,-6.16,-3.64,20.42
138769,0.147376,-0.079056,1.021384,1.61,-6.44,-3.36,20.48
138781,0.144448,-0.084424,1.01748,1.12,-6.44,-3.15,20.43
138793,0.142496,-0.093696,1.016016,0.98,-6.44,-2.66,20.43
138805,0.15128,-0.09272,1.0126,-0.21,-6.37,-2.24,20.44
138817,0.15372,-0.108824,1.004304,-1.05,-5.81,-2.17,20.44
