timestamp_ms,ax,ay,az,gx,gy,gz,tempC
1966994,0.87596,0.098576,0.913048,15.05,-28.91,9.94,21.57
1967006,0.874984,0.055144,0.891088,3.5,-30.309999,12.95,21.57
1967017,0.853024,0.135664,0.91256,-8.12,-35.84,16.309999,21.59
1967029,0.865224,0.064904,0.911584,-16.799999,-38.290001,18.27,21.59
1967041,0.876448,-0.054168,0.873032,-16.52,-41.09,18.059999,21.59
1967052,0.856928,-0.10248,0.821792,-9.45,-46.549999,18.690001,21.55
1967064,0.85644,-0.074664,0.801784,-1.54,-52.43,19.809999,21.55
1967075,0.871568,-0.037576,0.78812,4.48,-57.189999,23.030001,21.54
1967087,0.879864,0.053192,0.808616,2.45,-61.950001,27.299999,21.54
1967098,0.903288,0.099552,0.830576,-5.95,-63.98,29.889999,21.54
1967110,0.892552,0.026352,0.841312,-7.21,-66.709999,31.5,21.54
1967121,0.898408,0.010248,0.842288,-7.63,-71.75,34.09,21.54
1967132,0.916464,-0.06588,0.811544,-7.07,-75.949997,34.860001,21.54
1967145,0.924272,-0.10248,0.762744,-4.9,-79.870003,35.77,21.52
1967156,0.93208,-0.100528,0.735904,-4.83,-84.910004,37.450001,21.52
1967168,0.937448,-0.099064,0.709064,-4.34,-89.879997,40.599998,21.62
1967179,0.940864,-0.031232,0.736392,-7.35,-95.830002,44.240002,21.62
1967191,0.982344,0.059536,0.711992,-19.950001,-98.910004,49.279999,21.58
1967202,1.017968,0.018544,0.682712,-32.970001,-98.0,52.080002,21.58
1967214,0.98576,-0.035624,0.7076,-35.77,-101.150002,51.240002,21.58
1967225,0.95892,-0.018544,0.721264,-35.349998,-108.150002,50.959999,21.56
1967237,1.00284,0.019032,0.662704,-41.580002,-114.169998,55.299999,21.55
1967249,1.02724,-0.03904,0.53924,-43.330002,-111.720001,54.529999,21.55
1967261,0.96868,-0.090768,0.509472,-38.919998,-112.07,54.25,21.55
1967273,0.935496,-0.147376,0.5246,-18.48,-117.599998,53.27,21.48
1967286,0.915488,-0.12688,0.499712,0.63,-123.129997,53.48,21.48
1967299,0.884744,-0.058072,0.45872,13.65,-126.0,57.68,21.57
1967312,0.903288,-0.146888,0.33672,30.450001,-129.009995,62.02,21.57
1967324,0.892552,-0.0732,0.24888,40.18,-130.479996,64.330002,21.57
1967335,0.925736,-0.018544,0.193248,39.34,-108.779999,71.540001,21.54
1967346,0.935008,-0.052704,0.191296,38.080002,-118.019997,75.18,21.54
1967358,0.87108,-0.054656,0.220088,31.639999,-118.860001,77.489998,21.55
1967369,0.871568,-0.122,0.189832,24.360001,-115.989998,79.589996,21.58
1967381,0.857416,-0.162016,0.144448,19.040001,-110.32,82.110001,21.58
1967393,0.811056,-0.18544,0.106872,21.280001,-111.019997,85.610001,21.52
1967404,0.821304,-0.16592,0.10004,21.629999,-106.470001,88.339996,21.54
1967415,0.811056,-0.179096,0.054656,26.67,-105.0,91.139999,21.54
1967427,0.800808,-0.201056,0.018056,32.970001,-105.07,91.769997,21.59
1967438,0.828624,-0.181536,-0.025864,33.25,-97.230003,91.769997,21.59
1967450,0.801296,-0.174216,-0.044408,26.18,-88.550003,93.309998,21.56
1967461,0.781288,-0.188368,-0.035624,24.15,-86.730003,96.32,21.54
1967473,0.823256,-0.172752,-0.057096,24.5,-75.459999,98.0,21.54
1967485,0.787632,-0.132248,-0.03172,13.58,-68.949997,100.870003,21.6
1967496,0.735904,-0.220088,0.000488,5.11,-75.040001,105.0,21.6
1967507,0.751032,-0.292312,-0.013176,7.56,-76.089996,105.209999,21.55
1967519,0.77104,-0.2806,-0.030256,4.55,-68.739998,105.910004,21.54
1967530,0.747616,-0.266936,-0.059048,-2.66,-62.16,107.379997,21.54
1967542,0.72224,-0.244,-0.100528,-9.66,-59.150002,111.019997,21.56
1967554,0.733952,-0.237656,-0.084912,-19.110001,-56.0,113.470001,21.52
1967565,0.717848,-0.300608,-0.074176,-19.67,-51.66,113.050003,21.52
1967577,0.673928,-0.338184,-0.077104,-15.82,-51.310001,114.940002,21.54
1967589,0.68076,-0.3782,-0.052216,-14.14,-51.240002,117.599998,21.54
1967600,0.674416,-0.438224,-0.05612,-11.41,-50.82,119.139999,21.54
1967611,0.672464,-0.387472,-0.056608,-15.33,-49.490002,122.849998,21.54
1967623,0.652944,-0.4026,-0.064904,-21.139999,-47.669998,125.860001,21.54
1967634,0.6222,-0.444568,-0.05612,-24.290001,-45.290001,129.570007,21.59
1967647,0.587552,-0.51484,-0.059048,-26.67,-45.57,132.580002,21.55
1967658,0.567544,-0.516304,-0.09272,-27.58,-45.150002,135.449997,21.55
1967669,0.54168,-0.502152,-0.122488,-29.959999,-44.59,137.270004,21.56
1967681,0.524112,-0.5368,-0.17812,-32.200001,-42.630001,137.619995,21.56
1967692,0.492392,-0.592432,-0.197152,-35.560001,-41.509998,139.369995,21.59
1967704,0.466528,-0.637816,-0.213256,-35.700001,-40.950001,140.0,21.52
1967716,0.42456,-0.66612,-0.220088,-37.450001,-41.09,139.089996,21.52
1967727,0.40016,-0.693448,-0.240584,-39.689999,-40.599998,137.270004,21.57
1967739,0.379176,-0.774456,-0.221552,-39.900002,-38.290001,133.979996,21.55
1967751,0.338184,-0.864248,-0.246928,-36.540001,-35.209999,129.009995,21.55
1967763,0.288896,-0.93208,-0.280112,-28.49,-35.700001,124.459999,21.61
1967775,0.27328,-0.95648,-0.342576,-24.780001,-35.139999,117.18,21.61
1967787,0.259128,-0.9882,-0.38796,-25.059999,-34.299999,107.730003,21.6
1967798,0.254736,-1.008208,-0.411872,-31.99,-31.709999,100.940002,21.57
1967810,0.225944,-1.097024,-0.377224,-36.049999,-28.35,89.949997,21.57
1967821,0.174216,-1.192184,-0.34404,-40.18,-26.110001,75.040001,21.59
1967833,0.124928,-1.242448,-0.347944,-43.610001,-25.41,54.810001,21.56
1967845,0.10004,-1.306376,-0.377712,-48.09,-24.780001,35.630001,21.56
1967857,0.081008,-1.4152,-0.421632,-55.720001,-21.84,13.44,21.61
1967869,0.0,-1.574288,-0.496296,-60.200001,-19.110001,-11.55,21.61
1967881,-0.062952,-1.663592,-0.549,-65.169998,-18.059999,-35.91,21.54
1967893,-0.053192,-1.624064,-0.583648,-75.669998,-17.43,-60.830002,21.59
1967905,-0.05124,-1.731424,-0.709552,-74.410004,-14.7,-93.449997,21.59
1967917,-0.090768,-1.882216,-0.902312,-63.139999,-16.030001,-131.179993,21.55
1967929,-0.172752,-1.957856,-1.143384,-53.41,-17.85,-170.029999,21.55
1967941,-0.263032,-2.09108,-1.30784,-33.110001,-16.940001,-215.320007,21.55
1967953,-0.3782,-2.09352,-1.39324,-6.16,-15.33,-273.0,21.54
1967965,-0.55388,-2.138416,-1.511336,38.43,-12.53,-332.149994,21.54
1967977,-0.828624,-2.226256,-1.684576,112.209999,-4.69,-395.709991,21.54
1967988,-1.209264,-2.29116,-1.759728,215.460007,-18.549999,-440.929993,21.53
1968000,-1.584536,-1.866112,-1.91296,339.220001,-49.77,-487.829987,21.53
1968011,-1.62504,-1.69336,-2.221864,475.299988,-77.699997,-537.599976,21.57
1968023,-1.755336,-1.489864,-2.7328,667.72998,-119.559998,-554.469971,21.6
1968035,-1.747528,-1.211216,-3.072448,870.309998,-184.940002,-559.02002,21.6
1968046,-1.660664,-0.79788,-3.082696,1018.640015,-258.160004,-548.799988,21.54
1968058,-1.720688,-0.631472,-2.70596,1073.800049,-330.820007,-538.090027,21.55
1968069,-2.000312,-0.3416,-2.136952,1029.839966,-391.859985,-539.559998,21.55
1968081,-2.01788,-0.374784,-1.780712,826.070007,-414.190002,-532.140015,21.54
1968093,-1.849032,-0.73444,-1.640168,573.929993,-347.619995,-554.820007,21.54
1968105,-2.01544,-0.465064,-2.053504,347.059998,-271.179993,-560.909973,21.57
1968116,-2.381928,0.81008,-2.49368,87.57,-245.0,-571.409973,21.54
1968128,-2.096936,1.6714,-2.64496,-175.770004,-197.539993,-548.169983,21.54
1968140,-1.464488,1.928576,-2.518568,-320.109985,-116.830002,-565.530029,21.52
1968152,-2.287744,2.026664,-1.922232,-322.839996,-32.060001,-550.619995,21.52
1968164,-1.99348,2.765496,-1.570872,-233.380005,-27.370001,-511.910004,21.52
1968175,-0.982344,3.338408,-1.04676,-177.309998,6.72,-417.480011,21.53
1968187,-0.375272,4.010872,-0.451888,-152.320007,-4.27,-345.660004,21.53
1968198,0.467016,3.299856,-0.387472,-128.729996,83.160004,-270.480011,21.55
1968209,0.36844,3.028528,-0.478728,-66.360001,17.290001,-154.070007,21.52
1968221,0.72956,2.57908,-0.465552,-28.77,8.33,-84.559998,21.52
1968233,0.502152,2.14964,-0.172752,9.59,-9.03,-77.769997,21.52
1968244,0.710528,1.830488,0.123464,29.469999,-11.55,-51.59,21.51
1968255,0.573888,1.7324,0.274256,39.970001,-24.360001,-70.489998,21.51
1968268,0.491904,1.641632,0.214232,45.360001,-15.96,-79.519997,21.56
1968281,0.594384,1.759728,0.1342,23.24,1.4,-75.040001,21.5
1968293,0.404552,1.935408,0.133224,1.68,-4.9,-77.629997,21.5
1968304,0.308416,1.906128,0.115656,-18.48,-6.65,-59.080002,21.52
1968315,0.202032,1.667496,0.081984,-20.299999,-5.67,-29.190001,21.52
1968327,0.221064,1.569896,0.11224,-19.809999,-15.68,-7.49,21.5
1968339,0.36844,1.419104,0.023912,-23.030001,-16.870001,-0.91,21.55
1968351,0.413336,1.346392,-0.025864,-37.240002,-10.08,-4.2,21.55
1968363,0.435296,1.242448,-0.00732,-55.509998,-5.74,-13.58,21.59
1968375,0.340624,1.152656,-0.056608,-57.119999,-6.65,-24.709999,21.49
1968386,0.346968,1.148752,-0.091744,-51.240002,-2.1,-28.49,21.49
1968398,0.147376,1.014064,-0.08784,-37.52,-7.14,-21.139999,21.57
1968410,0.391864,1.031632,0.063928,-37.52,-6.51,-7.49,21.57
1968421,0.48556,1.143384,0.09028,-57.470001,-3.5,-5.11,21.59
1968432,0.398208,0.933056,-0.067832,-57.119999,-4.27,-1.96,21.55
1968444,0.364536,0.868152,-0.176656,-33.389999,-13.3,0.49,21.55
1968455,0.389912,0.922808,-0.203984,-16.66,-19.809999,5.81,21.51
