timestamp_ms,ax,ay,az,gx,gy,gz,tempC
586745,-0.001952,-0.16104,1.03456,-5.11,-71.68,-31.43,21.39
586757,0.003904,-0.160552,1.057008,-13.02,-72.589996,-31.92,21.34
586769,0.020496,-0.172752,1.057984,-20.65,-73.989998,-32.34,21.4
586782,0.045384,-0.236192,1.029192,-24.99,-74.970001,-34.16,21.4
586793,0.071248,-0.27328,0.975024,-22.4,-76.370003,-34.860001,21.4
586805,0.115168,-0.231312,0.99308,-23.450001,-76.580002,-32.759998,21.4
586817,0.154208,-0.18056,1.03212,-27.51,-76.510002,-32.619999,21.4
586828,0.169336,-0.177144,1.06384,-32.619999,-77.419998,-33.040001,21.41
586840,0.196176,-0.232288,1.05652,-39.130001,-79.029999,-33.810001,21.38
586852,0.201056,-0.28304,1.060424,-43.889999,-82.879997,-35.77,21.38
586864,0.213256,-0.298656,1.08092,-48.299999,-90.650002,-38.080002,21.36
586876,0.255712,-0.216184,1.067256,-62.790001,-95.129997,-38.709999,21.36
586888,0.305976,-0.166408,1.04188,-82.389999,-96.18,-38.779999,21.39
586900,0.350384,-0.236192,0.992592,-92.959999,-94.150002,-40.529999,21.36
586912,0.352336,-0.364536,0.967704,-87.57,-93.660004,-43.540001,21.36
586923,0.359656,-0.412848,0.9394,-71.610001,-96.949997,-46.130001,21.4
586935,0.384544,-0.395768,0.909144,-60.130001,-100.519997,-47.389999,21.37
586946,0.408456,-0.366,0.88572,-48.93,-103.459999,-48.509998,21.37
586958,0.434808,-0.303048,0.887672,-45.5,-106.400002,-49.209999,21.36
586970,0.465552,-0.223504,0.865224,-51.73,-107.800003,-49.349998,21.4
586982,0.527528,-0.221064,0.798856,-58.59,-104.019997,-47.529999,21.4
586993,0.537288,-0.262544,0.787632,-58.939999,-100.169998,-46.41,21.38
587004,0.533872,-0.276208,0.759328,-55.23,-97.650002,-43.119999,21.38
587016,0.535824,-0.29768,0.76616,-48.93,-96.18,-39.060001,21.39
587028,0.537776,-0.323056,0.78568,-41.23,-96.879997,-35.77,21.37
587039,0.554856,-0.29036,0.815936,-38.919998,-99.540001,-32.060001,21.37
587051,0.588528,-0.261568,0.7686,-41.23,-99.959999,-28.91,21.36
587063,0.616832,-0.294264,0.714432,-46.130001,-99.190002,-28.139999,21.36
587075,0.62952,-0.271816,0.635376,-52.290001,-98.07,-26.6,21.37
587086,0.671,-0.244488,0.549488,-58.450001,-93.589996,-23.17,21.37
587098,0.682224,-0.289872,0.524112,-59.150002,-88.129997,-20.93,21.37
587110,0.66612,-0.310368,0.529968,-53.970001,-85.190002,-18.9,21.37
587122,0.674416,-0.30012,0.510448,-47.669998,-81.970001,-15.47,21.35
587133,0.685152,-0.301096,0.51484,-44.240002,-78.190002,-12.74,21.35
587145,0.681248,-0.233752,0.479704,-46.689999,-73.709999,-8.89,21.36
587157,0.696376,-0.264008,0.416264,-46.48,-66.57,-6.3,21.34
587169,0.696864,-0.30012,0.360632,-40.25,-60.830002,-4.06,21.34
587181,0.711504,-0.278648,0.318664,-33.32,-54.599998,0.35,21.37
587193,0.748104,-0.220088,0.300608,-33.880001,-46.34,6.23,21.37
587205,0.7442,-0.287432,0.296704,-30.24,-37.66,10.29,21.34
587216,0.71736,-0.345016,0.343064,-27.719999,-32.060001,14.56,21.35
587228,0.7076,-0.3294,0.352336,-32.27,-28.84,18.620001,21.35
587239,0.716384,-0.352824,0.3538,-39.759998,-21.98,21.84,21.34
587251,0.689544,-0.411384,0.377224,-42.630001,-16.73,23.59,21.33
587263,0.682712,-0.406016,0.357216,-48.09,-13.37,25.690001,21.33
587274,0.71004,-0.455304,0.339648,-52.290001,-7.7,26.389999,21.37
587286,0.698816,-0.486048,0.366,-55.16,-4.27,27.370001,21.37
587298,0.695888,-0.545584,0.398696,-58.450001,-1.61,25.76,21.39
