timestamp_ms,ax,ay,az,gx,gy,gz,tempC
17080,0.503128,0.268400,0.989664,-33.110001,-31.010000,42.770000,21.30
17093,0.538264,0.250344,0.943792,-40.040001,-28.629999,45.080002,21.30
17104,0.542656,0.174216,0.965264,-43.470001,-26.879999,47.110001,21.29
17115,0.559736,0.098088,0.982344,-41.020000,-25.059999,48.090000,21.28
17127,0.564616,0.100528,1.007720,-37.169998,-24.010000,50.259998,21.28
17138,0.571448,0.136640,0.989664,-36.959999,-22.540001,52.779999,21.27
17149,0.595848,0.164944,0.978440,-40.040001,-20.160000,56.000000,21.27
17160,0.584624,0.194712,0.943792,-40.810001,-17.990000,56.980000,21.24
17171,0.580232,0.218624,0.914512,-41.650002,-17.500000,57.959999,21.26
17182,0.588528,0.231800,0.912072,-42.980000,-16.870001,58.869999,21.26
17193,0.584136,0.250832,0.901336,-49.840000,-16.660000,60.410000,21.29
17204,0.595360,0.249856,0.877912,-56.700001,-15.750000,63.700001,21.29
17215,0.587064,0.241072,0.871080,-57.540001,-14.560000,66.709999,21.34
17227,0.579256,0.195688,0.868152,-52.430000,-15.120000,67.690002,21.27
17238,0.567056,0.185440,0.851072,-39.970001,-16.170000,67.760002,21.27
17249,0.568032,0.179584,0.808128,-25.969999,-16.940001,67.129997,21.33
17260,0.574376,0.132736,0.797880,-13.230000,-16.450001,65.800003,21.33
17271,0.567544,0.190808,0.789584,-8.750000,-16.450001,68.949997,21.30
17282,0.583160,0.153232,0.781776,-5.740000,-15.050000,72.239998,21.28
17293,0.573888,0.183488,0.775432,0.350000,-11.760000,73.500000,21.28
17304,0.533384,0.215208,0.745664,3.570000,-9.310000,73.919998,21.29
17315,0.522648,0.185928,0.705648,4.620000,-7.000000,74.550003,21.29
17326,0.508496,0.173728,0.675392,3.710000,-5.600000,74.760002,21.29
17337,0.513376,0.135664,0.678808,-0.980000,-2.380000,74.830002,21.30
17348,0.496296,0.063928,0.686128,-2.170000,0.560000,73.570000,21.30
17360,0.488488,0.007320,0.690032,0.140000,2.310000,72.940002,21.29
17370,0.483608,-0.031720,0.697352,8.540000,3.500000,71.050003,21.29
17381,0.476288,-0.023912,0.671976,17.570000,4.830000,68.529999,21.26
17393,0.484096,-0.019032,0.661728,21.280001,7.910000,66.010002,21.26
17404,0.468480,-0.065392,0.657824,25.129999,11.690000,60.970001,21.29
17414,0.460672,-0.070760,0.652456,30.870001,14.280000,57.889999,21.28
17425,0.455792,-0.077104,0.647088,35.910000,17.290001,53.970001,21.28
17436,0.450424,-0.070272,0.656360,38.570000,20.790001,50.470001,21.30
17447,0.442616,-0.054656,0.662704,43.400002,23.100000,46.689999,21.30
17458,0.440176,-0.023424,0.667584,45.990002,27.230000,44.380001,21.30
17469,0.425536,0.010736,0.648064,49.630001,32.270000,40.320000,21.25
17480,0.404064,0.055144,0.637816,51.590000,36.540001,37.450001,21.25
17491,0.384056,0.090768,0.636840,48.230000,42.279999,35.770000,21.32
17502,0.377712,0.054168,0.638304,46.689999,47.669998,33.669998,21.32
17513,0.374784,0.041480,0.641720,45.009998,53.130001,32.480000,21.29
17524,0.355752,0.008296,0.654408,45.709999,58.730000,30.590000,21.27
17535,0.337208,0.007320,0.704184,45.779999,63.279999,29.120001,21.27
17546,0.306952,0.003416,0.751032,48.930000,66.570000,24.990000,21.30
17557,0.276696,-0.006344,0.798368,57.750000,69.860001,21.910000,21.30
17568,0.249368,0.051240,0.809592,63.910000,72.169998,17.219999,21.26
