timestamp_ms,ax,ay,az,gx,gy,gz,tempC
5758079,0.303048,0.052216,1.011624,-7.420000,-51.660000,41.090000,21.37
5758090,0.305976,0.104920,0.980392,2.730000,-48.509998,42.139999,21.37
5758101,0.286456,0.231312,0.917928,5.250000,-45.779999,47.599998,21.37
5758113,0.295728,0.312320,0.846680,5.320000,-42.419998,52.990002,21.34
5758123,0.293288,0.317200,0.790560,6.510000,-35.279999,52.009998,21.34
5758134,0.309880,0.179096,0.814960,3.150000,-33.040001,48.580002,21.32
5758145,0.303536,0.239120,0.823256,5.040000,-27.510000,56.770000,21.32
5758156,0.316224,0.222528,0.844728,2.520000,-26.180000,56.349998,21.37
5758167,0.320616,0.199104,0.881816,-5.740000,-23.940001,57.820000,21.36
5758178,0.341112,0.179096,0.870592,-11.970000,-22.190001,61.669998,21.36
5758189,0.345016,0.161528,0.849608,-17.920000,-21.700001,64.959999,21.34
5758200,0.360144,0.141520,0.813008,-18.969999,-18.690001,65.870003,21.34
5758211,0.359168,0.100040,0.794464,-15.400000,-15.400000,64.820000,21.33
5758222,0.372344,0.079544,0.787632,-13.720000,-13.020000,63.560001,21.35
5758233,0.363072,0.079056,0.803736,-13.020000,-10.570000,63.139999,21.35
5758244,0.364048,0.056120,0.821304,-11.760000,-8.050000,61.320000,21.40
5758256,0.349896,0.068808,0.814472,-11.620000,-6.930000,60.900002,21.40
5758268,0.371368,0.038064,0.786656,-14.000000,-4.060000,58.450001,21.36
5758278,0.353312,0.020496,0.762256,-15.400000,-2.310000,57.470001,21.39
5758289,0.348432,0.002928,0.791536,-18.200001,-1.050000,56.770000,21.39
5758300,0.327936,0.036600,0.828136,-22.610001,-1.120000,56.000000,21.35
5758311,0.340136,0.021472,0.868152,-29.959999,-2.520000,56.980000,21.35
5758322,0.349408,-0.015616,0.888648,-33.389999,-2.100000,55.439999,21.36
5758333,0.351848,-0.052216,0.880352,-35.560001,-2.730000,54.040001,21.33
5758344,0.352336,-0.135176,0.863272,-29.469999,-2.310000,49.770000,21.33
5758355,0.345504,-0.152744,0.852536,-16.450001,-1.750000,44.520000,21.37
5758366,0.347456,-0.136152,0.855464,-5.950000,-1.470000,42.560001,21.37
5758378,0.357704,-0.106872,0.853024,-1.050000,-1.470000,40.810001,21.37
5758389,0.359168,-0.111264,0.848632,2.310000,-1.400000,37.939999,21.37
5758400,0.354288,-0.127368,0.835456,6.790000,-0.420000,35.139999,21.36
5758411,0.356728,-0.131272,0.821304,12.740000,0.700000,33.180000,21.40
5758422,0.364536,-0.115656,0.811056,16.450001,3.080000,31.360001,21.40
5758432,0.368928,-0.091744,0.786168,17.360001,6.020000,30.940001,21.38
5758444,0.357704,-0.067344,0.731512,12.320000,8.540000,31.500000,21.38
