timestamp_ms,ax,ay,az,gx,gy,gz,tempC
3584317,0.429928,0.219600,0.977952,-2.030000,-3.710000,4.410000,21.51
3584329,0.423584,0.194712,0.961848,-3.430000,-3.220000,4.620000,21.51
3584340,0.421144,0.214720,0.951112,-4.690000,-3.150000,5.390000,21.46
3584351,0.422120,0.215208,0.932080,-4.340000,-2.940000,5.880000,21.47
3584362,0.431392,0.232288,0.937936,-4.900000,-2.800000,6.720000,21.47
3584374,0.430416,0.247904,0.963312,-6.650000,-1.610000,6.300000,21.47
3584385,0.422120,0.224968,1.046272,-30.520000,-5.670000,6.440000,21.47
3584396,0.499224,0.001952,1.022360,-28.910000,-0.560000,6.720000,21.50
3584407,0.418216,0.172264,1.005768,-27.650000,-2.240000,8.610000,21.48
3584419,0.427976,0.155672,1.009672,-31.360001,-2.380000,6.930000,21.48
3584431,0.439200,0.116632,1.003816,-26.670000,-3.710000,6.510000,21.45
3584442,0.442616,0.162504,1.006744,-21.280001,-4.620000,5.600000,21.45
3584453,0.447984,0.176656,1.013088,-19.250000,-5.670000,5.880000,21.47
3584464,0.453840,0.171288,1.008696,-17.780001,-6.370000,6.300000,21.53
3584475,0.464088,0.144448,0.998936,-17.430000,-6.300000,7.140000,21.53
3584486,0.466528,0.150304,1.000400,-18.760000,-6.580000,8.960000,21.47
3584497,0.473848,0.139080,1.003328,-23.450001,-6.090000,10.710000,21.47
3584508,0.482144,0.135664,0.998936,-28.980000,-6.440000,12.250000,21.51
3584519,0.494344,0.119560,0.987224,-33.529999,-5.950000,13.930000,21.51
3584530,0.493856,0.100040,0.974048,-35.349998,-5.880000,15.680000,21.48
3584541,0.500688,0.089304,0.960872,-36.750000,-5.670000,17.290001,21.46
3584552,0.504104,0.101504,0.958432,-39.970001,-5.110000,18.760000,21.46
3584563,0.504104,0.103944,0.965264,-43.750000,-4.620000,20.510000,21.48
3584574,0.509472,0.104432,0.987224,-49.560001,-4.550000,23.030001,21.48
3584585,0.524600,0.122000,0.993568,-55.860001,-4.340000,24.850000,21.46
3584596,0.518256,0.106872,0.997472,-61.950001,-4.620000,26.600000,21.48
3584607,0.511424,0.072712,0.978928,-63.910000,-4.830000,28.000000,21.48
3584618,0.507032,0.025864,0.925736,-59.849998,-4.550000,29.190001,21.48
3584629,0.499712,0.038064,0.907192,-53.689999,-4.550000,30.309999,21.48
3584640,0.503128,0.069296,0.893528,-50.889999,-3.290000,31.639999,21.55
3584651,0.510936,0.073688,0.887184,-50.470001,-2.800000,33.320000,21.46
3584662,0.511424,0.081496,0.918416,-54.740002,-2.380000,35.000000,21.46
3584673,0.525088,0.018056,0.902312,-54.599998,-0.490000,35.070000,21.50
3584684,0.490440,-0.039528,0.873032,-48.860001,0.350000,34.160000,21.50
3584695,0.479216,-0.066368,0.835456,-39.689999,0.910000,33.740002,21.53
