timestamp_ms,ax,ay,az,gx,gy,gz,tempC
7323925,0.437248,0.124440,0.868640,11.830000,-22.959999,-49.910000,21.92
7323937,0.420656,0.305000,0.843264,16.170000,-21.209999,-48.720001,21.93
7323948,0.419680,0.383080,0.862784,8.610000,-20.719999,-44.939999,21.93
7323959,0.422120,0.357216,0.910120,-8.610000,-19.670000,-43.750000,21.92
7323970,0.407480,0.338184,0.965264,-27.719999,-20.650000,-41.930000,21.92
7323981,0.398696,0.293776,0.993568,-38.990002,-22.400000,-39.270000,21.92
7323992,0.410408,0.252296,1.021872,-44.380001,-24.360001,-36.889999,21.96
7324003,0.403576,0.219600,1.044808,-50.680000,-25.830000,-34.439999,21.96
7324014,0.413336,0.183000,1.023824,-52.430000,-26.879999,-33.040001,21.94
7324025,0.428952,0.144936,0.976488,-46.830002,-24.500000,-31.010000,21.94
7324036,0.429440,0.148352,0.895968,-35.419998,-22.049999,-30.170000,21.92
7324047,0.441152,0.264496,0.865224,-24.709999,-19.600000,-27.160000,21.93
7324058,0.434320,0.324520,0.852048,-26.670000,-18.129999,-24.360001,21.93
7324069,0.432856,0.278648,0.840336,-28.420000,-16.520000,-22.610001,21.93
7324080,0.449448,0.226432,0.840824,-29.540001,-14.420000,-20.580000,21.93
7324091,0.432856,0.218624,0.856440,-32.130001,-14.280000,-20.650000,21.93
7324102,0.429440,0.156160,0.861808,-31.500000,-13.230000,-20.020000,21.90
7324113,0.437736,0.109312,0.859856,-29.400000,-12.390000,-19.530001,21.90
7324124,0.435784,0.084424,0.855952,-26.879999,-12.040000,-19.459999,21.98
7324135,0.432856,0.079544,0.833504,-24.360001,-10.780000,-19.389999,21.98
7324146,0.441152,0.072224,0.800808,-17.780001,-8.260000,-19.879999,21.96
7324157,0.435296,0.118584,0.785192,-15.400000,-7.140000,-19.600000,21.93
7324169,0.437736,0.183488,0.795440,-19.809999,-7.770000,-17.500000,21.93
7324180,0.456768,0.153720,0.790072,-26.250000,-6.790000,-17.780001,21.97
7324191,0.445544,0.085400,0.802760,-29.820000,-3.010000,-20.160000,21.97
7324202,0.436760,0.024400,0.829600,-29.680000,-1.610000,-22.260000,21.96
7324213,0.450912,-0.012688,0.838872,-26.809999,0.070000,-23.030001,21.97
7324224,0.455792,-0.033184,0.865224,-21.139999,1.400000,-24.290001,21.97
7324235,0.461160,-0.022448,0.878888,-14.980000,2.240000,-25.059999,21.98
7324246,0.481168,-0.034648,0.865224,-6.720000,3.220000,-25.480000,21.98
7324257,0.504104,0.003416,0.874984,1.750000,2.800000,-25.129999,22.00
7324268,0.531432,0.034160,0.883280,1.540000,4.200000,-24.850000,21.95
7324279,0.545584,-0.002928,0.877424,-0.840000,7.140000,-26.950001,21.95
7324290,0.523136,-0.048800,0.887184,-4.620000,10.990000,-27.440001,21.96
7324302,0.525088,-0.042944,0.880840,-10.850000,10.710000,-27.160000,21.96
7324313,0.540704,-0.045872,0.883768,-20.160000,13.090000,-27.650000,22.00
7324324,0.556808,-0.054168,0.907680,-26.950001,13.790000,-27.860001,21.95
7324335,0.567056,-0.063440,0.910120,-30.799999,14.770000,-30.030001,21.95
7324346,0.585600,-0.101016,0.903288,-31.290001,17.010000,-32.900002,21.97
7324358,0.592432,-0.159576,0.911096,-24.709999,20.020000,-36.680000,21.97
7324369,0.554856,-0.159088,0.904264,-17.430000,23.100000,-39.619999,21.98
7324381,0.560712,-0.216672,0.886696,-13.090000,25.900000,-43.540001,21.96
7324393,0.530944,-0.133224,0.872056,-7.000000,29.400000,-48.580002,21.96
7324404,0.508008,-0.104920,0.858392,-0.700000,30.379999,-52.360001,21.97
7324415,0.500200,-0.015616,0.871568,-8.820000,31.080000,-52.639999,21.97
7324427,0.462624,0.080520,0.873520,-26.950001,30.379999,-53.410000,21.95
