timestamp_ms,ax,ay,az,gx,gy,gz,tempC
222154,0.482632,0.023912,0.951600,-33.880001,-0.630000,-2.380000,20.72
222165,0.489952,-0.003416,0.940376,-33.040001,1.050000,-1.890000,20.72
222176,0.504592,-0.045872,0.904264,-26.180000,3.080000,-2.450000,20.73
222187,0.514352,-0.021472,0.869616,-17.990000,5.040000,-0.840000,20.73
222198,0.532896,-0.029280,0.854488,-11.620000,8.260000,0.350000,20.75
222209,0.536312,-0.073200,0.858392,-5.460000,11.830000,0.840000,20.75
222220,0.540704,-0.030744,0.837408,-1.540000,14.070000,2.240000,20.71
222230,0.534360,0.011712,0.822768,-1.750000,15.890000,2.450000,20.73
222241,0.529480,0.033184,0.809592,-5.040000,17.430000,3.220000,20.73
222252,0.528992,0.022936,0.829600,-12.250000,18.830000,4.060000,20.72
222263,0.518744,0.011224,0.859368,-19.180000,20.299999,4.550000,20.72
222273,0.507520,0.011224,0.894016,-26.530001,20.860001,5.320000,20.73
222284,0.483120,-0.008296,0.896944,-23.799999,21.770000,3.850000,20.72
222295,0.470432,-0.008784,0.886208,-20.090000,21.350000,2.100000,20.72
222306,0.460672,-0.027816,0.853024,-15.680000,21.420000,0.910000,20.71
222317,0.458232,-0.083936,0.819840,-5.810000,24.010000,-1.890000,20.71
222328,0.434808,-0.053192,0.822280,2.730000,25.059999,-4.200000,20.76
222338,0.414312,-0.027816,0.832528,8.960000,25.830000,-5.320000,20.76
222349,0.400160,-0.008296,0.849608,13.440000,27.090000,-6.300000,20.75
222360,0.375272,0.044896,0.861808,14.630000,27.930000,-6.230000,20.70
222370,0.368440,0.109800,0.868640,8.540000,25.129999,-6.370000,20.70
222381,0.368928,0.171288,0.891088,-3.010000,25.969999,-5.180000,20.72
222392,0.349896,0.152256,0.903776,-16.660000,24.500000,-4.340000,20.72
222403,0.353312,0.101016,0.905728,-24.780001,23.870001,-3.080000,20.67
222413,0.347944,0.073688,0.926224,-33.180000,22.889999,-1.960000,20.67
222424,0.328912,0.077592,0.937936,-37.169998,22.190001,-1.400000,20.71
222435,0.325984,0.046848,0.949648,-36.750000,20.020000,-1.610000,20.72
222446,0.332328,0.035136,0.952576,-37.029999,18.760000,-0.840000,20.72
222457,0.330864,0.010736,0.959408,-37.029999,17.639999,-0.210000,20.72
222468,0.330864,-0.030744,0.942328,-34.930000,16.590000,-1.120000,20.72
222479,0.319640,-0.019032,0.942816,-33.040001,15.050000,-0.980000,20.75
222490,0.311832,0.012688,0.951112,-34.509998,13.300000,-1.470000,20.71
222500,0.309880,0.015616,0.946720,-36.680000,11.270000,-1.330000,20.71
222511,0.318176,0.035624,0.952576,-43.330002,10.080000,-0.350000,20.73
222522,0.307928,0.058072,0.938424,-52.080002,9.100000,-0.280000,20.73
222533,0.310368,0.000000,0.924272,-56.209999,8.400000,-0.840000,20.71
222544,0.304512,-0.044408,0.931104,-57.119999,7.700000,-0.420000,20.71
222555,0.290360,-0.040504,0.933544,-57.680000,6.090000,-0.630000,20.73
222566,0.289384,-0.076128,0.914024,-56.490002,4.760000,-1.540000,20.79
222576,0.306952,-0.122976,0.898896,-52.220001,5.040000,-2.730000,20.79
222587,0.297680,-0.139568,0.903776,-45.080002,5.600000,-4.970000,20.73
222598,0.301584,-0.123464,0.927200,-39.759998,5.110000,-6.090000,20.73
222609,0.294752,-0.095648,0.944768,-35.070000,4.480000,-6.790000,20.74
222620,0.291824,-0.100528,0.950136,-32.130001,4.200000,-7.280000,20.70
222631,0.297680,-0.101992,0.936472,-30.660000,4.130000,-6.300000,20.70
222642,0.299632,-0.113704,0.925248,-28.840000,4.060000,-6.160000,20.74
222653,0.305000,-0.146400,0.927200,-26.670000,4.830000,-5.250000,20.74
222664,0.303536,-0.177144,0.932568,-20.790001,5.810000,-5.670000,20.75
222675,0.298656,-0.154696,0.946232,-13.440000,6.160000,-6.230000,20.75
222686,0.290848,-0.155184,0.949160,-9.520000,5.040000,-5.880000,20.74
222697,0.290848,-0.165920,0.947208,-7.980000,5.110000,-5.740000,20.65
222708,0.281088,-0.173240,0.945256,-7.280000,4.900000,-5.110000,20.65
222719,0.283528,-0.166896,0.951112,-8.610000,4.410000,-3.640000,20.74
222730,0.284992,-0.163968,0.958920,-11.200000,4.270000,-2.940000,20.74
222741,0.283040,-0.170800,0.956968,-13.440000,4.410000,-1.540000,20.78
222752,0.289384,-0.186416,0.965752,-15.750000,4.550000,-0.630000,20.69
222763,0.287432,-0.197152,0.972096,-15.540000,4.200000,-0.350000,20.69
222774,0.282552,-0.248392,0.977464,-11.760000,4.130000,-0.490000,20.73
222785,0.280600,-0.241072,0.972584,-5.250000,3.500000,-0.420000,20.73
222795,0.280600,-0.189832,0.976976,-3.920000,2.730000,0.700000,20.73
222806,0.281576,-0.172264,0.993080,-6.370000,1.260000,2.310000,20.73
222817,0.297680,-0.212280,0.985272,-9.590000,1.610000,3.570000,20.72
222828,0.293288,-0.256200,0.968192,-6.370000,2.170000,3.360000,20.72
222839,0.296216,-0.253760,0.936472,-3.010000,2.450000,3.010000,20.72
222850,0.292800,-0.254248,0.928176,0.210000,2.170000,2.660000,20.73
222861,0.287920,-0.249856,0.923784,2.100000,1.260000,3.500000,20.73
222871,0.319152,-0.222040,0.923296,2.030000,2.870000,2.380000,20.73
222882,0.296216,-0.185440,0.928176,-1.470000,1.190000,2.870000,20.74
222893,0.317688,-0.184952,0.934032,-5.110000,1.120000,2.940000,20.74
222904,0.319152,-0.185928,0.940864,-9.100000,0.910000,3.710000,20.70
222914,0.323056,-0.185440,0.948672,-12.810000,0.000000,3.500000,20.70
222925,0.329400,-0.200568,0.952576,-14.910000,-0.700000,3.990000,20.76
222936,0.329400,-0.200568,0.955504,-14.700000,-1.120000,3.850000,20.76
222947,0.327448,-0.201056,0.967216,-14.910000,-1.750000,4.200000,20.77
222958,0.323056,-0.211304,0.961848,-14.280000,-1.890000,4.480000,20.73
222969,0.311832,-0.206424,0.968192,-12.320000,-2.100000,4.620000,20.73
222980,0.300608,-0.204472,0.960872,-11.480000,-2.800000,4.830000,20.69
222991,0.295728,-0.238632,0.953552,-7.700000,-2.660000,3.780000,20.69
223002,0.285968,-0.220576,0.953552,-5.250000,-3.570000,3.290000,20.72
223013,0.289384,-0.222040,0.959408,-3.640000,-4.410000,2.940000,20.78
223024,0.283528,-0.223992,0.965752,-1.820000,-4.480000,2.030000,20.78
223035,0.283528,-0.209840,0.968680,-2.450000,-6.020000,2.660000,20.74
223046,0.290360,-0.212768,0.966728,-5.250000,-6.160000,2.520000,20.74
223057,0.286944,-0.222040,0.965264,-7.980000,-6.580000,2.660000,20.75
223068,0.293776,-0.231800,0.955992,-10.780000,-6.650000,2.870000,20.71
223079,0.295240,-0.247904,0.959896,-11.410000,-7.000000,3.010000,20.71
223090,0.299632,-0.254248,0.954040,-11.200000,-6.930000,2.240000,20.71
223101,0.305976,-0.289872,0.949160,-7.910000,-6.720000,1.330000,20.71
223112,0.316712,-0.281088,0.944768,-5.110000,-6.020000,0.280000,20.74
223123,0.319640,-0.268888,0.949648,-5.530000,-5.950000,0.700000,20.74
223134,0.327448,-0.267912,0.952088,-5.460000,-5.250000,0.700000,20.73
223145,0.325984,-0.243512,0.957944,-7.490000,-4.550000,1.610000,20.73
223156,0.330376,-0.241560,0.967216,-10.850000,-4.480000,2.450000,20.73
