timestamp_ms,ax,ay,az,gx,gy,gz,tempC
159814,0.535824,0.065392,0.756888,-24.219999,-7.070000,-74.339996,19.11
159827,0.475800,0.219112,0.808616,-38.220001,-5.110000,-71.120003,19.10
159839,0.485560,0.296216,0.795928,-57.750000,-5.320000,-64.889999,19.10
159851,0.500688,0.269864,0.772504,-79.589996,-5.530000,-62.020000,19.13
159863,0.532896,0.198128,0.869616,-91.910004,-5.600000,-56.349998,19.11
159875,0.546560,0.081496,0.739320,-86.660004,0.700000,-56.070000,19.11
159887,0.564616,0.021472,0.729072,-66.150002,9.100000,-54.110001,19.12
159898,0.516304,0.049288,0.725168,-46.270000,11.060000,-59.360001,19.12
159910,0.512888,0.083448,0.762744,-33.110001,14.560000,-59.779999,19.16
159921,0.479216,0.218624,0.813984,-33.529999,16.590000,-57.540001,19.12
159933,0.465552,0.279624,0.871080,-39.619999,17.920000,-52.779999,19.12
159945,0.426512,0.248880,0.860344,-44.799999,14.770000,-48.509998,19.14
159956,0.441152,0.210328,0.832528,-47.180000,17.080000,-44.590000,19.10
159968,0.439688,0.162992,0.791048,-48.160000,19.879999,-43.119999,19.10
159980,0.435784,0.084424,0.770064,-43.119999,21.350000,-42.139999,19.11
159991,0.419680,0.081984,0.825696,-36.540001,22.330000,-40.389999,19.11
160003,0.348432,0.200080,0.899384,-33.529999,21.070000,-35.840000,19.12
160015,0.335256,0.242048,0.923296,-34.860001,19.040001,-30.660000,19.11
160026,0.350384,0.287432,0.916952,-46.340000,19.530001,-24.780001,19.11
160038,0.355264,0.222528,0.902312,-55.650002,18.620001,-21.770000,19.10
160050,0.371856,0.103456,0.883280,-53.619999,18.690001,-20.370001,19.13
160062,0.389912,0.032208,0.874496,-44.799999,18.830000,-19.740000,19.13
160074,0.391376,-0.032208,0.860832,-31.080000,19.530001,-19.320000,19.09
160086,0.384056,-0.018544,0.878888,-18.340000,20.440001,-17.430000,19.18
160098,0.365024,0.070760,0.894992,-15.120000,20.020000,-14.070000,19.18
160109,0.352824,0.099064,0.933544,-15.330000,18.760000,-12.880000,19.16
160121,0.351360,0.117120,0.948672,-17.430000,18.830000,-11.200000,19.16
160132,0.353312,0.086864,0.964776,-19.110001,17.570000,-10.360000,19.10
160143,0.362584,0.038552,0.967216,-17.920000,17.360001,-9.240000,19.15
160155,0.366976,0.008784,0.965264,-15.400000,16.030001,-7.980000,19.15
160169,0.369904,-0.031720,0.958432,-8.890000,15.120000,-7.490000,19.13
160181,0.361608,-0.012688,0.953064,-5.390000,14.280000,-6.370000,19.09
160192,0.357216,0.016592,0.975024,-5.810000,12.810000,-5.040000,19.09
160203,0.355752,0.040016,0.988688,-8.260000,11.480000,-3.920000,19.17
160215,0.353800,0.026352,0.997472,-9.870000,10.920000,-3.150000,19.17
160226,0.345504,-0.004392,0.998936,-9.730000,9.940000,-2.590000,19.11
160238,0.352824,-0.033184,0.991616,-7.280000,9.310000,-1.890000,19.11
160249,0.352824,-0.048312,0.982344,-2.940000,8.260000,-1.330000,19.11
160261,0.355264,-0.051240,0.969656,2.380000,7.980000,-1.260000,19.16
160273,0.345016,-0.043920,0.964288,7.000000,6.860000,-1.190000,19.10
160285,0.344040,-0.020984,0.969168,9.240000,5.950000,-0.490000,19.10
160296,0.345992,-0.018544,0.973560,11.340000,4.830000,0.210000,19.17
160308,0.358680,0.015616,0.976000,7.770000,4.410000,2.030000,19.17
160320,0.363072,0.001952,0.970144,1.610000,3.710000,3.010000,19.12
160331,0.361120,-0.022936,0.962824,-1.330000,4.130000,3.290000,19.13
160343,0.369416,-0.046360,0.942328,-1.540000,3.850000,3.360000,19.13
160356,0.368440,-0.063928,0.931104,0.560000,3.990000,3.360000,19.11
160369,0.371856,-0.074176,0.929152,4.060000,4.690000,3.220000,19.12
160380,0.369904,-0.059536,0.938912,5.040000,4.690000,3.010000,19.12
160393,0.358192,-0.050752,0.942816,5.670000,4.620000,2.590000,19.13
160404,0.353800,-0.044408,0.950624,5.040000,4.270000,1.820000,19.10
160416,0.334280,-0.023912,0.965264,2.380000,3.290000,1.190000,19.10
160427,0.342576,-0.034160,0.959408,0.140000,2.940000,0.910000,19.13
160439,0.332816,-0.059536,0.962336,1.260000,2.730000,0.210000,19.13
160450,0.335744,-0.020984,0.976000,0.420000,1.540000,0.560000,19.11
160461,0.330376,-0.012200,0.979904,-2.100000,0.280000,0.770000,19.11
160473,0.337696,-0.024888,0.979416,-3.570000,-0.280000,0.700000,19.11
160484,0.340624,-0.033672,0.982344,-4.410000,-1.120000,0.770000,19.14
160496,0.346480,-0.049288,0.985760,-3.990000,-1.890000,0.630000,19.12
160507,0.344528,-0.046848,0.976488,-2.310000,-2.100000,0.280000,19.12
160519,0.346480,-0.045384,0.965752,-0.630000,-2.730000,0.140000,19.13
160530,0.350384,-0.038064,0.957944,-0.840000,-3.080000,0.140000,19.13
160542,0.352336,-0.040504,0.945744,-0.490000,-3.500000,0.420000,19.13
160553,0.362096,-0.063440,0.956968,1.330000,-3.710000,0.700000,19.11
160565,0.352336,-0.047824,0.952088,2.800000,-3.640000,0.840000,19.11
160576,0.349408,-0.055144,0.952576,3.920000,-3.570000,1.120000,19.13
160587,0.344040,-0.062952,0.951600,6.440000,-3.220000,1.260000,19.13
160598,0.338184,-0.054168,0.952576,7.770000,-3.500000,1.960000,19.13
160609,0.348920,-0.058560,0.954040,7.980000,-3.570000,2.240000,19.12
160621,0.348432,-0.054168,0.955504,8.610000,-2.940000,2.380000,19.12
160632,0.342088,-0.048312,0.947208,8.400000,-2.450000,2.030000,19.12
160644,0.341112,-0.057096,0.937448,8.260000,-2.030000,1.400000,19.12
160655,0.344040,-0.063440,0.934520,7.770000,-1.610000,1.050000,19.11
160666,0.360144,-0.053680,0.931592,4.760000,-1.120000,1.050000,19.14
160678,0.374296,-0.055632,0.931592,0.490000,-0.140000,0.910000,19.14
160689,0.373320,-0.055144,0.934520,-2.870000,1.400000,0.560000,19.14
160700,0.365512,-0.058072,0.937936,-4.690000,2.450000,0.070000,19.14
160711,0.368440,-0.063928,0.945744,-5.740000,3.010000,-0.140000,19.10
160722,0.366000,-0.062464,0.954040,-6.230000,3.570000,-0.560000,19.14
160734,0.360632,-0.064416,0.961848,-6.720000,4.200000,-0.630000,19.14
160745,0.363072,-0.064904,0.972584,-7.210000,4.480000,-0.770000,19.14
160757,0.354288,-0.061976,0.977952,-8.540000,4.200000,-0.840000,19.11
160770,0.347944,-0.078568,0.986248,-9.800000,3.990000,-0.700000,19.11
160781,0.335744,-0.081008,0.986248,-10.220000,3.570000,-0.910000,19.11
160793,0.328424,-0.075640,0.981368,-8.610000,2.940000,-0.350000,19.11
160804,0.333792,-0.060024,0.974536,-7.210000,2.660000,0.070000,19.17
160816,0.328424,-0.068808,0.979904,-5.320000,2.940000,-0.280000,19.12
160827,0.325496,-0.067344,0.996984,-4.340000,2.380000,-0.140000,19.12
160839,0.324520,-0.073200,1.012600,-3.780000,1.540000,0.350000,19.16
160851,0.319152,-0.071248,1.005280,-3.640000,0.420000,0.630000,19.11
160862,0.324520,-0.073688,0.985760,-3.850000,-1.050000,0.770000,19.11
160873,0.325496,-0.070272,0.972584,-4.060000,-1.190000,0.490000,19.13
160885,0.319152,-0.064416,0.966240,-4.550000,-1.400000,0.420000,19.13
160896,0.324032,-0.071248,0.961848,-4.830000,-1.330000,0.840000,19.10
160908,0.319152,-0.072224,0.958920,-3.360000,-1.820000,0.980000,19.12
160919,0.321592,-0.066368,0.957944,-2.310000,-2.240000,0.840000,19.12
160931,0.327448,-0.066368,0.959408,-0.420000,-2.380000,0.700000,19.13
160942,0.327936,-0.044896,0.955992,0.140000,-2.100000,0.910000,19.13
160953,0.322568,-0.044896,0.957456,-0.770000,-2.030000,1.260000,19.09
160965,0.323544,-0.049776,0.950136,-1.960000,-1.680000,1.610000,19.10
160977,0.330376,-0.061976,0.939400,-3.010000,-1.960000,2.310000,19.10
160988,0.339648,-0.072224,0.936472,-2.240000,-1.610000,2.380000,19.13
161000,0.337208,-0.067344,0.927688,-1.610000,-1.190000,3.220000,19.14
161012,0.335744,-0.071736,0.927200,-0.770000,-0.630000,3.710000,19.14
161023,0.335256,-0.065392,0.930128,-0.560000,-0.070000,4.270000,19.12
161035,0.336232,-0.059536,0.937936,-1.750000,0.770000,4.760000,19.12
161046,0.333304,-0.070760,0.937936,-1.960000,1.260000,4.970000,19.12
161059,0.335744,-0.074176,0.939400,-2.240000,1.400000,5.460000,19.10
161070,0.336232,-0.079056,0.944768,-2.240000,1.050000,5.600000,19.10
161081,0.343064,-0.075152,0.947208,-2.520000,0.980000,5.530000,19.16
161093,0.334768,-0.077592,0.953064,-2.240000,0.910000,5.390000,19.16
161105,0.331840,-0.079544,0.948672,-1.820000,0.770000,4.970000,19.16
161117,0.335256,-0.086864,0.951600,-1.050000,0.560000,4.550000,19.14
161130,0.333304,-0.093208,0.958920,-0.490000,0.280000,4.410000,19.14
161141,0.334768,-0.100528,0.960872,17.850000,0.070000,4.550000,19.11
161153,0.338184,-0.104920,0.968680,0.420000,-0.210000,4.410000,19.14
161165,0.330864,-0.103944,0.971120,1.470000,-0.630000,4.550000,19.14
161176,0.328424,-0.096136,0.971608,2.030000,-0.840000,4.200000,19.12
161188,0.326472,-0.092720,0.967704,2.100000,-0.770000,4.060000,19.08
161200,0.325496,-0.094672,0.969656,1.470000,-0.490000,4.060000,19.08
161212,0.325008,-0.093696,0.975512,0.140000,-0.770000,4.480000,19.12
161223,0.324032,-0.086376,0.969168,-1.610000,-0.840000,5.460000,19.14
161235,0.330376,-0.096624,0.965752,-2.870000,-0.420000,5.880000,19.14
161247,0.327936,-0.105896,0.957944,-2.870000,0.420000,6.580000,19.13
161258,0.323544,-0.113216,0.962824,-2.170000,1.190000,6.720000,19.13
161270,0.325984,-0.111752,0.974048,-1.540000,1.470000,7.000000,19.13
161281,0.329400,-0.111752,0.978928,-1.820000,1.610000,7.560000,19.12
161293,0.332816,-0.115168,0.976976,-2.240000,1.890000,7.770000,19.12
161304,0.329888,-0.110288,0.983320,-3.220000,1.610000,7.910000,19.08
161316,0.322080,-0.107848,0.982344,-4.340000,1.190000,7.630000,19.08
161328,0.324032,-0.125416,0.977952,-4.550000,0.700000,7.140000,19.10
161340,0.321592,-0.124928,0.975024,-3.290000,0.630000,6.790000,19.14
161351,0.323056,-0.111264,0.971120,-3.570000,0.210000,6.720000,19.14
161363,0.325984,-0.122976,0.962824,-3.290000,0.420000,5.950000,19.12
161374,0.321592,-0.110776,0.963312,-3.430000,0.140000,5.530000,19.09
161386,0.318664,-0.109800,0.971608,-3.570000,-0.210000,5.110000,19.09
161397,0.321592,-0.109800,0.969656,-4.060000,-0.910000,4.550000,19.13
161409,0.325496,-0.121024,0.967704,-4.410000,-1.330000,3.920000,19.13
161421,0.330376,-0.128832,0.957456,-3.290000,-1.610000,3.430000,19.14
161432,0.326960,-0.124440,0.948184,-1.050000,-1.890000,2.590000,19.12
161443,0.318176,-0.102968,0.952576,0.210000,-2.100000,1.890000,19.12
161455,0.318664,-0.092720,0.956480,-0.350000,-2.380000,1.470000,19.14
161467,0.317200,-0.098576,0.955504,-0.980000,-2.380000,1.610000,19.12
161478,0.313296,-0.098088,0.955016,-0.280000,-2.730000,1.750000,19.12
161490,0.309880,-0.095160,0.951600,-0.350000,-3.360000,2.100000,19.13
161501,0.307928,-0.103456,0.951600,0.490000,-3.640000,2.030000,19.13
161513,0.305976,-0.099064,0.951600,1.470000,-3.640000,1.890000,19.16
161525,0.305976,-0.098088,0.951112,1.400000,-3.640000,1.610000,19.14
161536,0.303536,-0.096624,0.935984,1.330000,-3.360000,1.400000,19.14
161548,0.306952,-0.101016,0.933056,0.910000,-3.150000,1.190000,19.12
161560,0.305488,-0.112240,0.935984,1.400000,-2.800000,0.910000,19.11
161571,0.302072,-0.108336,0.940864,2.380000,-2.380000,0.980000,19.11
161583,0.305976,-0.095160,0.942328,2.030000,-1.820000,1.120000,19.08
161594,0.304024,-0.091744,0.946720,1.330000,-1.260000,1.400000,19.08
161605,0.301584,-0.092232,0.954040,0.210000,-0.980000,2.170000,19.14
161617,0.303536,-0.098576,0.954528,-0.420000,-0.700000,2.940000,19.13
161629,0.298168,-0.105408,0.959896,0.140000,-0.630000,3.360000,19.13
161640,0.298656,-0.108824,0.962824,0.980000,-0.560000,3.570000,19.15
161652,0.299144,-0.108824,0.968192,1.330000,-0.420000,3.500000,19.15
161663,0.296216,-0.115168,0.971608,1.260000,-0.420000,3.290000,19.10
161675,0.297680,-0.120048,0.976000,2.240000,-0.700000,3.290000,19.17
161686,0.295728,-0.113704,0.985272,2.730000,-1.190000,2.940000,19.17
161698,0.294752,-0.113704,0.996496,2.940000,-1.890000,2.590000,19.16
161709,0.299144,-0.115168,1.004304,3.010000,-2.310000,2.380000,19.09
161721,0.295240,-0.114192,1.010160,2.660000,-2.730000,2.310000,19.09
161733,0.298168,-0.123464,1.016504,2.940000,-3.360000,2.310000,19.12
161744,0.303048,-0.120048,1.012112,3.640000,-3.920000,2.520000,19.12
161756,0.300608,-0.123952,1.004792,4.200000,-4.200000,2.310000,19.14
161767,0.300120,-0.119072,1.001864,4.410000,-4.830000,1.960000,19.15
161779,0.295728,-0.121024,0.999424,4.480000,-5.110000,1.470000,19.15
161790,0.291336,-0.116632,0.998936,4.270000,-5.670000,1.050000,19.12
161801,0.301096,-0.118584,0.996984,3.850000,-6.090000,1.050000,19.12
161813,0.311832,-0.128344,1.002352,3.850000,-5.880000,0.980000,19.09
161824,0.313784,-0.126880,1.002840,3.780000,-5.810000,1.120000,19.14
161835,0.316712,-0.132736,0.992592,3.990000,-5.810000,0.420000,19.14
161847,0.308904,-0.133224,0.982832,4.970000,-5.880000,-0.350000,19.12
161858,0.311344,-0.132248,0.975512,5.670000,-5.740000,-0.980000,19.13
161870,0.317200,-0.125416,0.971608,5.180000,-5.180000,-1.260000,19.13
161882,0.321104,-0.123464,0.971120,4.480000,-4.550000,-1.960000,19.14
161894,0.325008,-0.131272,0.966728,4.130000,-3.990000,-3.290000,19.14
161905,0.332328,-0.131760,0.961848,4.970000,-3.640000,-4.340000,19.13
161917,0.334280,-0.143960,0.961848,6.930000,-3.290000,-5.530000,19.11
161929,0.331352,-0.137128,0.956480,8.680000,-2.660000,-6.510000,19.11
161940,0.321592,-0.113704,0.958432,7.630000,-2.030000,-6.650000,19.15
161952,0.313784,-0.101016,0.965752,4.970000,-1.540000,-7.000000,19.11
161964,0.312808,-0.096624,0.974536,2.940000,-0.910000,-6.860000,19.11
161975,0.313296,-0.106384,0.981368,2.310000,-0.490000,-6.930000,19.13
161986,0.320128,-0.096136,0.976488,1.750000,-0.630000,-6.790000,19.13
161998,0.331840,-0.105408,0.970632,0.560000,-0.070000,-6.930000,19.11
162010,0.330864,-0.123464,0.967704,0.700000,0.910000,-7.630000,19.13
162021,0.323056,-0.136640,0.972584,2.800000,1.540000,-8.400000,19.13
162032,0.315736,-0.131272,0.966240,3.920000,1.610000,-9.240000,19.14
162044,0.309392,-0.125904,0.954528,5.810000,2.240000,-10.080000,19.14
162056,0.305976,-0.096136,0.940376,6.440000,3.220000,-10.990000,19.14
162067,0.305976,-0.081984,0.931104,5.460000,4.550000,-11.200000,19.13
162078,0.305000,-0.077592,0.944768,3.850000,5.880000,-11.410000,19.13
162090,0.301096,-0.074664,0.951600,1.680000,6.860000,-11.480000,19.10
162101,0.299632,-0.090280,0.942328,0.490000,8.120000,-11.620000,19.12
162113,0.299632,-0.106872,0.935984,1.120000,10.220000,-11.900000,19.12
162124,0.291824,-0.104432,0.925248,3.570000,12.250000,-11.550000,19.13
162135,0.283040,-0.077104,0.936472,3.990000,12.740000,-10.570000,19.13
162146,0.283040,-0.078568,0.958432,2.730000,13.300000,-9.660000,19.16
162157,0.283040,-0.074176,0.960872,0.140000,13.440000,-9.240000,19.13
162169,0.289872,-0.084424,0.961848,-2.380000,14.490000,-9.380000,19.13
162180,0.288896,-0.099064,0.962336,-3.290000,15.400000,-10.010000,19.12
162192,0.291336,-0.107360,0.955992,-3.780000,15.820000,-11.060000,19.12
162204,0.295728,-0.111264,0.952576,-5.600000,16.379999,-11.340000,19.14
162216,0.284992,-0.110776,0.953552,-6.300000,16.450001,-12.040000,19.13
162227,0.276696,-0.116144,0.955504,-6.790000,15.960000,-12.670000,19.13
162239,0.257176,-0.122488,0.963800,-5.320000,15.330000,-14.490000,19.12
162250,0.240584,-0.093696,0.958920,-3.220000,14.840000,-15.680000,19.16
162261,0.231312,-0.085888,0.966728,-1.190000,14.070000,-16.870001,19.16
162273,0.227896,-0.041968,0.968680,-2.730000,13.440000,-17.080000,19.15
162284,0.223016,-0.034648,0.975024,-5.810000,12.810000,-17.010000,19.15
162296,0.232288,-0.050264,0.978440,-8.120000,11.900000,-16.100000,19.14
162308,0.231800,-0.072712,0.972584,-8.050000,11.830000,-15.680000,19.12
162319,0.214232,-0.066368,0.969168,-6.090000,11.060000,-15.120000,19.12
162331,0.214232,-0.042456,0.966240,-5.180000,10.780000,-14.980000,19.16
162343,0.220576,-0.050264,0.982832,-4.830000,10.220000,-14.140000,19.16
162354,0.239608,-0.078080,0.997472,-3.780000,9.730000,-13.370000,19.09
162366,0.232288,-0.088328,0.990152,-0.070000,8.260000,-12.810000,19.17
162377,0.243024,-0.108824,0.979904,2.870000,7.490000,-12.880000,19.17
162388,0.241560,-0.119072,0.971120,7.280000,7.630000,-13.090000,19.12
162400,0.233264,-0.094184,0.979416,10.010000,7.070000,-12.460000,19.14
162412,0.239608,-0.090280,0.994056,11.200000,7.280000,-11.270000,19.14
162423,0.228384,-0.077592,0.992592,12.040000,7.070000,-10.010000,19.17
162435,0.231800,-0.041480,0.997960,8.820000,6.020000,-7.630000,19.17
162447,0.241072,-0.046360,1.010648,4.480000,5.460000,-5.950000,19.12
162458,0.228384,-0.052216,1.006256,2.730000,5.180000,-4.480000,19.12
162470,0.233264,-0.043432,1.007720,1.050000,4.690000,-3.290000,19.12
162482,0.221064,-0.047336,1.012600,0.700000,3.570000,-1.750000,19.10
162493,0.223504,-0.059048,1.007232,2.660000,2.940000,-0.210000,19.10
162504,0.224480,-0.055144,1.003328,3.850000,2.100000,1.400000,19.10
162515,0.218136,-0.050752,1.006744,5.040000,1.050000,2.590000,19.10
162527,0.218136,-0.049288,1.011624,6.650000,-0.140000,3.150000,19.10
162538,0.214232,-0.054656,1.021872,8.120000,-0.490000,2.730000,19.13
162550,0.206424,-0.058560,1.022848,9.100000,-0.560000,2.170000,19.19
162561,0.195688,-0.052704,1.034560,9.870000,-0.840000,1.330000,19.19
162573,0.195200,-0.040992,1.045784,8.820000,-1.960000,1.190000,19.12
162585,0.207400,-0.030256,1.046760,5.180000,-4.130000,1.330000,19.12
162596,0.238632,-0.062952,1.040904,3.150000,-5.180000,1.540000,19.14
162608,0.250832,-0.063440,1.039928,2.380000,-5.390000,1.470000,19.14
162619,0.258640,-0.071248,1.039928,2.100000,-5.040000,0.840000,19.14
162631,0.264008,-0.078080,1.041880,2.310000,-4.690000,0.280000,19.15
162642,0.265472,-0.076616,1.049200,1.610000,-4.900000,-0.070000,19.11
162654,0.270352,-0.082960,1.058472,-0.070000,-5.040000,-0.350000,19.11
162665,0.261568,-0.081008,1.052128,-1.750000,-5.810000,-0.560000,19.14
162677,0.254736,-0.096624,1.047248,-0.770000,-7.210000,-0.490000,19.14
162689,0.245952,-0.088328,1.040416,0.280000,-8.960000,-0.560000,19.12
162700,0.253760,-0.102480,1.030656,1.260000,-9.730000,-0.210000,19.12
162712,0.245464,-0.121024,1.018456,5.740000,-9.030000,-1.190000,19.12
162723,0.227408,-0.086376,1.018944,8.680000,-9.520000,-1.330000,19.18
162735,0.224968,-0.069784,1.028704,8.260000,-10.220000,-1.470000,19.12
162746,0.221064,-0.078568,1.035048,7.560000,-10.710000,-1.680000,19.12
162758,0.224480,-0.070760,1.034072,6.860000,-11.620000,-1.260000,19.14
162770,0.248880,-0.065880,1.029192,5.390000,-11.970000,0.000000,19.14
162781,0.261568,-0.071248,1.028704,4.130000,-11.690000,1.050000,19.13
162792,0.260592,-0.055632,1.024312,3.290000,-11.620000,2.100000,19.11
162803,0.258640,-0.056120,1.001864,2.310000,-11.410000,3.150000,19.11
162815,0.252296,-0.045384,0.985760,0.770000,-11.130000,4.200000,19.19
162826,0.254248,-0.044896,0.976976,-1.610000,-10.710000,4.550000,19.19
162838,0.261080,-0.062464,0.981856,-2.450000,-9.660000,5.320000,19.13
162850,0.257176,-0.049776,0.989176,-3.500000,-8.890000,5.950000,19.10
162861,0.244000,-0.046848,0.992592,-5.040000,-8.260000,6.720000,19.10
162872,0.238144,-0.048800,0.990640,-6.580000,-7.630000,7.700000,19.13
162884,0.230336,-0.049288,0.976976,-9.030000,-7.070000,8.540000,19.13
162895,0.229848,-0.072712,0.968192,-10.710000,-6.230000,8.890000,19.16
162906,0.226432,-0.087840,0.953552,-10.640000,-5.110000,8.470000,19.16
162918,0.217160,-0.079544,0.940376,-10.570000,-4.340000,7.700000,19.16
162929,0.198616,-0.081008,0.948672,-11.410000,-3.850000,6.370000,19.12
162940,0.181536,-0.090280,0.956968,-10.990000,-3.080000,5.250000,19.16
162952,0.181048,-0.102480,0.950136,-9.380000,-2.870000,3.430000,19.16
162964,0.199592,-0.114192,0.946720,-6.860000,-2.660000,2.030000,19.16
162976,0.219112,-0.112728,0.942816,-4.270000,-1.330000,0.840000,19.16
162987,0.210328,-0.098088,0.941840,-2.800000,-0.420000,-0.140000,19.16
162998,0.221064,-0.088816,0.934520,-3.080000,0.630000,-0.840000,19.15
163010,0.226920,-0.084424,0.931592,-4.550000,1.540000,-0.980000,19.15
163021,0.238144,-0.090280,0.935984,-5.740000,2.030000,-1.190000,19.15
163033,0.243512,-0.091256,0.949160,-7.280000,2.870000,-2.170000,19.15
163044,0.238144,-0.094672,0.961360,-7.630000,2.310000,-2.870000,19.14
163056,0.241560,-0.097600,0.965752,-6.930000,1.120000,-2.590000,19.12
163067,0.231312,-0.084912,0.954528,-6.370000,0.000000,-2.520000,19.12
163079,0.224968,-0.091256,0.956480,-5.600000,-0.490000,-2.310000,19.14
163091,0.212768,-0.074664,0.961360,-3.780000,-0.770000,-2.450000,19.13
