timestamp_ms,ax,ay,az,gx,gy,gz,tempC
1563550,0.673928,0.175680,0.862784,56.419998,-39.759998,1.680000,21.50
1563562,0.684664,0.184952,0.867176,68.809998,-35.980000,5.600000,21.50
1563573,0.602680,0.194224,0.866688,78.260002,-55.090000,6.650000,21.50
1563584,0.733464,0.243024,0.865224,87.849998,-53.340000,5.740000,21.50
1563594,0.714432,0.256688,0.865712,94.150002,-52.709999,10.150000,21.48
1563605,0.708088,0.267912,0.852048,97.930000,-57.470001,16.590000,21.46
1563616,0.682712,0.284992,0.833016,98.349998,-71.750000,5.460000,21.46
1563627,0.766160,0.247416,0.809592,102.199997,-70.000000,11.340000,21.48
1563638,0.800808,0.301584,0.805688,101.709999,-68.669998,18.410000,21.48
1563649,0.833016,0.328424,0.815448,103.110001,-66.570000,18.900000,21.48
1563660,0.826672,0.333792,0.811544,100.589996,-59.220001,23.730000,21.46
1563671,0.730536,0.344528,0.827160,96.599998,-66.430000,27.370001,21.46
1563682,0.787144,0.347944,0.817400,95.129997,-69.440002,30.450001,21.49
1563693,0.740296,0.373320,0.810080,96.599998,-84.070000,31.570000,21.49
1563704,0.775432,0.361120,0.765672,95.900002,-85.330002,31.709999,21.51
1563715,0.845216,0.325496,0.708088,98.000000,-71.889999,42.419998,21.45
1563726,0.777384,0.343552,0.678808,99.260002,-72.870003,39.480000,21.45
1563737,0.798368,0.306464,0.626592,105.559998,-83.790001,46.200001,21.52
1563748,0.770064,0.370392,0.607072,108.430000,-94.570000,41.090000,21.52
1563759,0.844728,0.382592,0.582184,108.570000,-92.750000,47.040001,21.47
1563770,0.880840,0.393328,0.579744,105.209999,-85.330002,51.939999,21.47
1563781,0.894992,0.388936,0.608536,99.400002,-77.910004,57.540001,21.49
1563792,0.864736,0.392840,0.603168,96.879997,-78.400002,61.180000,21.56
1563804,0.866688,0.429928,0.580232,90.720001,-87.639999,62.860001,21.56
1563815,1.004304,0.393816,0.551440,88.410004,-85.680000,70.209999,21.52
1563826,1.006256,0.431392,0.522648,81.199997,-74.339996,69.650002,21.52
1563837,0.915488,0.383080,0.487024,76.089996,-73.919998,73.639999,21.48
1563848,0.937448,0.329400,0.431880,81.339996,-77.279999,76.440002,21.50
1563859,0.970144,0.327936,0.408944,84.349998,-74.480003,78.680000,21.50
1563870,0.955992,0.304512,0.392840,88.760002,-72.309998,80.779999,21.49
1563880,0.942328,0.354776,0.380640,86.169998,-72.029999,83.019997,21.49
1563891,0.951112,0.376736,0.349896,80.220001,-71.190002,84.699997,21.51
1563902,0.959896,0.347456,0.313784,74.550003,-68.040001,85.610001,21.45
1563913,0.959408,0.336232,0.251320,69.580002,-63.209999,86.730003,21.45
1563924,0.955016,0.310368,0.208864,64.820000,-56.279999,86.660004,21.52
1563935,0.943792,0.291336,0.153720,59.919998,-50.189999,86.309998,21.52
1563946,0.929640,0.273768,0.165432,49.700001,-45.849998,85.820000,21.48
1563957,0.898408,0.258152,0.183976,39.200001,-41.299999,84.559998,21.48
1563968,0.887184,0.232288,0.157624,31.570000,-37.869999,82.180000,21.45
1563979,0.873032,0.186904,0.108336,27.580000,-35.209999,79.589996,21.48
1563990,0.845704,0.120536,0.046360,30.799999,-32.830002,76.510002,21.48
1564001,0.838872,0.079544,0.001464,34.160000,-29.610001,71.050003,21.47
1564012,0.833016,0.053192,-0.011712,33.529999,-25.830000,64.820000,21.47
1564023,0.816424,0.016104,-0.012688,33.040001,-22.400000,59.709999,21.50
1564034,0.812032,-0.056120,-0.021472,38.919998,-18.620001,52.220001,21.52
1564045,0.793976,-0.081496,-0.042456,43.610001,-11.550000,46.060001,21.52
1564057,0.743224,-0.100528,-0.057096,48.650002,-11.900000,34.369999,21.50
1564068,0.724680,-0.146888,-0.080520,55.580002,-11.130000,25.969999,21.50
1564079,0.730536,-0.194224,-0.141032,72.449997,-7.840000,18.620001,21.47
1564091,0.724680,-0.159088,-0.189344,83.790001,-3.290000,11.340000,21.48
1564102,0.726144,-0.202520,-0.236680,97.089996,1.610000,2.730000,21.48
1564113,0.792024,-0.217648,-0.282064,111.790001,16.379999,-4.620000,21.52
1564124,0.793976,-0.231312,-0.329888,129.710007,29.540001,-21.840000,21.52
1564135,0.795928,-0.181536,-0.385032,142.520004,10.570000,-23.100000,21.51
1564146,0.854488,-0.177144,-0.415288,159.320007,38.430000,-34.299999,21.48
1564157,0.735416,-0.203984,-0.423096,180.320007,49.840000,-49.349998,21.48
1564169,0.714432,-0.185928,-0.461160,198.869995,48.439999,-63.980000,21.51
1564181,0.721264,-0.236680,-0.488000,224.910004,63.349998,-79.169998,21.51
1564192,0.699792,-0.204960,-0.489464,240.729996,72.940002,-93.589996,21.53
1564203,0.658800,-0.261568,-0.430904,266.630005,80.010002,-111.650002,21.47
1564214,0.599264,-0.194712,-0.380152,297.570007,89.389999,-127.610001,21.47
1564225,0.532408,-0.032208,-0.326472,310.029999,90.930000,-151.690002,21.51
1564237,0.475312,-0.056120,-0.284016,316.750000,88.620003,-181.929993,21.51
1564248,0.461648,-0.051728,-0.279624,329.279999,89.529999,-204.960007,21.50
1564259,0.388936,-0.024400,-0.211792,338.029999,85.610001,-226.869995,21.51
1564270,0.345504,0.059048,-0.178608,348.459991,81.690002,-247.240005,21.51
1564281,0.319640,0.376736,-0.064904,340.130005,75.949997,-256.619995,21.50
1564292,0.264496,0.670512,0.061488,312.549988,64.190002,-273.350006,21.50
1564303,0.262544,0.895968,0.103944,267.260010,49.490002,-285.600006,21.46
1564314,0.291336,1.046272,0.122976,216.649994,32.900002,-286.089996,21.51
1564325,0.256200,1.170224,-0.024888,204.330002,15.330000,-291.690002,21.51
1564336,0.395280,1.528416,-0.197640,128.660004,30.100000,-252.559998,21.45
1564347,0.418216,1.562088,-0.252784,65.870003,29.610001,-182.000000,21.45
1564358,0.367952,1.938824,-0.079056,28.770000,36.119999,-176.679993,21.47
1564369,0.375272,2.065216,0.185440,4.900000,32.830002,-151.550003,21.43
1564380,0.470432,2.067168,0.399672,-0.140000,24.850000,-118.230003,21.43
1564391,0.507520,2.041304,0.475800,1.750000,17.010000,-85.260002,21.52
1564401,0.543144,2.031544,0.467016,0.140000,11.130000,-54.389999,21.52
1564412,0.597312,1.965664,0.405528,-3.290000,6.370000,-23.870001,21.51
1564424,0.612440,2.010560,0.341600,-14.210000,2.310000,13.230000,21.51
1564436,0.600240,1.972984,0.259616,-34.090000,-5.110000,42.000000,21.50
1564447,0.598776,1.795840,0.239608,-49.000000,-11.270000,66.849998,21.48
1564458,0.598776,1.625528,0.241560,-57.889999,-14.700000,86.660004,21.48
1564469,0.580720,1.529392,0.254248,-61.599998,-19.459999,103.180000,21.52
1564480,0.566080,1.454728,0.243024,-65.800003,-25.200001,116.410004,21.47
1564491,0.545584,1.338584,0.191784,-69.160004,-29.400000,131.460007,21.47
1564502,0.532896,1.240008,0.142984,-76.930000,-32.410000,143.990005,21.52
1564513,0.522648,1.176568,0.104920,-86.099998,-37.380001,154.279999,21.52
1564524,0.501176,1.126304,0.066368,-101.150002,-41.930000,165.759995,21.50
1564535,0.505080,1.035536,0.031232,-116.970001,-46.830002,174.229996,21.50
1564546,0.513864,0.942816,0.016592,-129.429993,-49.560001,181.089996,21.52
1564558,0.522648,0.864248,0.025864,-150.429993,-53.270000,184.240005,21.51
1564569,0.542168,0.719312,0.050264,-160.160004,-53.830002,183.330002,21.51
1564580,0.541192,0.590968,0.076616,-157.080002,-56.000000,181.509995,21.48
1564591,0.561200,0.528504,0.080032,-149.660004,-58.099998,178.289993,21.48
1564602,0.584136,0.495808,0.023912,-146.440002,-58.939999,174.860001,21.50
1564612,0.617808,0.447008,-0.028304,-150.919998,-57.610001,168.559998,21.51
1564623,0.630984,0.386984,-0.086864,-158.970001,-56.910000,162.820007,21.51
1564635,0.654896,0.340624,-0.126880,-176.259995,-56.279999,156.800003,21.49
1564646,0.690520,0.317200,-0.117120,-195.160004,-54.180000,149.940002,21.49
