timestamp_ms,ax,ay,az,gx,gy,gz,tempC
1523830,0.661728,0.058072,0.912560,22.610001,-31.500000,11.480000,22.27
1523841,0.666120,0.035136,0.887184,21.700001,-32.340000,12.250000,22.25
1523852,0.664168,0.030744,0.866688,21.139999,-34.299999,13.300000,22.25
1523863,0.671000,0.023424,0.864736,20.650000,-35.419998,13.300000,22.27
1523874,0.658312,0.042456,0.879864,22.750000,-39.130001,15.190000,22.27
1523885,0.680272,0.086864,0.898896,22.049999,-40.320000,15.960000,22.27
1523895,0.678320,0.120048,0.907680,19.389999,-41.650002,17.430000,22.27
1523906,0.685640,0.109800,0.901336,16.100000,-44.450001,18.690001,22.25
1523917,0.703696,0.098576,0.881816,13.650000,-46.060001,19.600000,22.26
1523928,0.702232,0.056120,0.845216,16.379999,-48.020000,20.580000,22.26
1523939,0.707600,0.066856,0.800808,19.600000,-49.139999,21.840000,22.30
1523950,0.723216,0.065392,0.762256,20.790001,-48.299999,22.540001,22.30
1523961,0.716384,0.068320,0.758840,22.469999,-48.090000,25.129999,22.28
1523973,0.740784,0.099064,0.760792,23.450001,-48.090000,27.510000,22.26
1523985,0.742736,0.142984,0.785192,23.240000,-48.509998,29.400000,22.26
1523996,0.752496,0.108336,0.794952,26.180000,-48.580002,30.240000,22.30
1524007,0.755424,0.065880,0.801784,30.940001,-49.630001,30.799999,22.30
1524019,0.754448,0.082472,0.793488,33.389999,-51.169998,32.759998,22.25
1524030,0.768600,0.088816,0.763720,32.340000,-51.029999,34.090000,22.29
1524041,0.772016,0.104432,0.777384,26.950001,-51.520000,36.400002,22.29
1524052,0.782264,0.099552,0.772504,21.559999,-52.500000,37.310001,22.31
1524063,0.792024,0.100040,0.770064,17.990000,-53.549999,39.340000,22.31
1524074,0.795928,0.084424,0.733952,16.870001,-54.250000,39.830002,22.26
1524085,0.792512,0.106872,0.711016,15.470000,-55.720001,40.320000,22.25
1524096,0.806176,0.105408,0.667584,12.530000,-55.509998,40.810001,22.25
1524107,0.802760,0.058560,0.621712,15.470000,-54.529999,39.830002,22.26
1524121,0.789096,0.081008,0.598776,19.950001,-55.020000,40.950001,22.21
1524133,0.812032,0.096624,0.607072,18.969999,-53.830002,42.070000,22.21
1524144,0.815448,0.077104,0.638792,18.760000,-52.500000,42.910000,22.26
1524155,0.828624,0.080520,0.652456,18.270000,-52.150002,43.959999,22.26
1524166,0.851072,0.025864,0.646112,21.490000,-50.049999,44.869999,22.25
1524177,0.844240,-0.025376,0.644160,29.469999,-47.040001,45.290001,22.22
1524188,0.838872,0.001464,0.620248,36.820000,-45.779999,47.880001,22.22
1524199,0.839848,0.015128,0.602192,38.779999,-44.660000,50.119999,22.30
1524210,0.834968,0.050752,0.562664,38.360001,-42.910000,50.750000,22.30
1524221,0.834968,0.098088,0.503616,30.870001,-42.209999,51.799999,22.24
1524232,0.851560,0.123952,0.478240,16.799999,-39.270000,52.849998,22.28
1524244,0.828624,0.161528,0.502152,1.470000,-36.820000,52.990002,22.28
1524255,0.839848,0.115656,0.515328,-7.490000,-35.139999,52.919998,22.28
1524266,0.864248,0.032696,0.523624,-4.620000,-33.810001,52.360001,22.28
1524277,0.853512,0.016104,0.548024,1.960000,-32.270000,51.939999,22.26
1524287,0.835944,0.013176,0.561688,8.470000,-32.060001,51.869999,22.26
1524298,0.825208,-0.015616,0.559248,17.500000,-32.410000,53.619999,22.31
1524309,0.846680,-0.029280,0.519232,28.350000,-31.080000,54.880001,22.23
1524322,0.849120,-0.043920,0.506544,30.870001,-28.980000,57.330002,22.23
1524333,0.849120,-0.047336,0.483608,30.870001,-27.020000,58.169998,22.28
1524344,0.840824,-0.040504,0.463600,24.570000,-25.270000,57.959999,22.27
1524355,0.828624,-0.089304,0.453352,23.940001,-25.620001,56.630001,22.27
1524366,0.828624,-0.093696,0.436760,23.940001,-27.090000,53.759998,22.24
1524378,0.818864,-0.132248,0.439688,22.610001,-26.320000,50.189999,22.24
1524389,0.805200,-0.167872,0.452864,25.340000,-24.920000,47.040001,22.26
1524399,0.797392,-0.187392,0.466528,29.750000,-23.730000,44.799999,22.26
1524410,0.787144,-0.172264,0.452864,32.549999,-22.400000,42.070000,22.21
1524421,0.774944,-0.163968,0.415776,34.930000,-22.610001,41.860001,22.22
1524432,0.791048,-0.162992,0.382592,34.299999,-21.770000,39.480000,22.22
1524443,0.773968,-0.173240,0.392352,35.490002,-21.840000,37.169998,22.26
1524454,0.773480,-0.162016,0.427976,31.990000,-21.910000,35.419998,22.26
1524465,0.777384,-0.162016,0.441640,27.090000,-20.370001,33.040001,22.27
1524476,0.764696,-0.183488,0.431392,25.900000,-20.650000,31.010000,22.23
1524487,0.771528,-0.186904,0.406016,23.799999,-21.000000,28.840000,22.23
1524498,0.773968,-0.208864,0.406504,22.959999,-22.120001,26.809999,22.27
1524509,0.767624,-0.227896,0.421144,21.000000,-23.100000,23.309999,22.27
1524520,0.764208,-0.254248,0.425536,18.969999,-24.360001,19.809999,22.27
1524531,0.756888,-0.298168,0.404064,19.879999,-27.370001,17.010000,22.25
