timestamp_ms,ax,ay,az,gx,gy,gz,tempC
2451831,0.371368,0.813008,0.764696,195.229996,-99.260002,86.519997,22.00
2451844,0.420656,0.809592,0.695888,189.979996,-96.949997,94.500000,22.00
2451855,0.454328,0.765184,0.652456,184.869995,-94.010002,97.089996,21.96
2451866,0.492392,0.694424,0.614880,175.910004,-92.120003,98.769997,21.98
2451877,0.545584,0.684664,0.600240,167.300003,-90.440002,99.470001,21.98
2451888,0.571936,0.752984,0.580720,155.820007,-88.339996,99.889999,21.96
2451899,0.592920,0.734928,0.549000,144.550003,-85.540001,98.629997,21.96
2451910,0.615368,0.715896,0.521672,133.419998,-83.089996,97.790001,21.98
2451921,0.634888,0.727608,0.476288,116.269997,-81.830002,98.419998,21.96
2451931,0.665632,0.675392,0.425048,99.610001,-80.779999,98.070000,21.96
2451942,0.721264,0.633424,0.376248,89.809998,-75.320000,96.949997,22.00
2451953,0.708576,0.664656,0.368440,77.279999,-70.139999,97.650002,22.00
2451964,0.716872,0.604632,0.361608,62.930000,-67.339996,96.949997,22.00
2451975,0.762744,0.544120,0.361608,50.540001,-64.260002,98.839996,22.00
2451986,0.750056,0.524112,0.358680,46.480000,-62.509998,100.800003,21.98
2451997,0.785192,0.520696,0.339160,44.939999,-61.110001,102.620003,21.96
2452008,0.808128,0.521184,0.325984,45.779999,-57.959999,102.970001,21.96
2452019,0.807152,0.505080,0.297192,44.310001,-55.299999,100.309998,21.96
2452030,0.827648,0.483120,0.273280,37.240002,-53.900002,98.000000,21.96
2452041,0.784704,0.516792,0.254736,35.840000,-50.400002,97.089996,21.94
2452051,0.772016,0.472384,0.238144,35.349998,-50.189999,95.760002,21.96
2452062,0.804224,0.438224,0.213744,33.250000,-47.250000,94.779999,21.96
2452073,0.820328,0.376736,0.208376,29.540001,-43.959999,94.290001,21.97
2452084,0.839360,0.354288,0.204472,28.280001,-40.880001,92.680000,21.97
2452095,0.836432,0.348920,0.210816,24.709999,-39.340000,92.190002,21.98
2452106,0.834480,0.350872,0.203496,23.100000,-37.099998,90.019997,21.98
2452117,0.830576,0.329400,0.190320,21.280001,-36.680000,87.709999,21.97
2452128,0.825208,0.353312,0.188368,20.650000,-33.459999,85.750000,21.99
2452138,0.806176,0.369416,0.176168,0.490000,-32.480000,83.510002,21.99
2452149,0.821304,0.337208,0.162504,13.230000,-32.900002,82.180000,21.98
2452161,0.844728,0.298656,0.198128,6.090000,-33.810001,78.750000,21.98
2452171,0.872056,0.253760,0.192272,0.770000,-33.669998,77.349998,21.96
2452182,0.867664,0.242048,0.167384,-6.510000,-34.509998,76.510002,21.94
2452193,0.871568,0.228872,0.132736,-10.150000,-33.459999,75.250000,21.94
2452204,0.841800,0.289872,0.109800,-8.330000,-30.590000,75.389999,21.99
2452215,0.846680,0.287920,0.089304,-7.070000,-29.889999,74.760002,21.99
2452226,0.866688,0.219112,0.104432,-1.960000,-30.240000,72.449997,21.97
2452237,0.885720,0.184464,0.117608,5.460000,-28.700001,70.209999,21.97
2452248,0.894016,0.185440,0.119072,12.460000,-28.350000,68.949997,21.97
2452259,0.912560,0.180072,0.122488,17.360001,-29.190001,67.269997,21.96
2452270,0.917928,0.172752,0.135664,19.530001,-28.350000,66.220001,21.96
2452281,0.932568,0.153720,0.122976,20.650000,-28.490000,65.309998,21.96
2452292,0.924760,0.146400,0.110776,24.920000,-26.530001,62.930000,21.96
2452302,0.904264,0.133712,0.083936,30.590000,-24.219999,61.110001,21.98
2452313,0.914512,0.109800,0.071248,35.419998,-21.910000,58.939999,21.97
2452324,0.920856,0.083448,0.084912,42.139999,-20.090000,55.720001,21.97
2452335,0.934032,0.101992,0.093208,46.900002,-17.639999,54.180000,22.00
2452346,0.928664,0.108336,0.098088,46.900002,-18.270000,51.380001,22.00
2452357,0.929152,0.088816,0.095648,42.980000,-19.459999,47.950001,21.96
2452368,0.929640,0.054168,0.107848,35.840000,-21.910000,45.709999,21.94
2452379,0.912072,0.046848,0.101992,34.650002,-23.590000,42.770000,21.94
2452390,0.904264,0.022448,0.083448,33.110001,-24.430000,39.060001,21.96
2452400,0.905240,0.012688,0.077104,30.940001,-24.920000,36.750000,21.96
2452411,0.910120,-0.030256,0.072712,31.850000,-25.969999,32.970001,22.01
2452422,0.912072,-0.055144,0.065880,37.799999,-25.549999,29.610001,22.01
2452433,0.910608,-0.044408,0.054168,43.330002,-25.830000,27.440001,21.98
2452444,0.929152,-0.048312,0.024888,47.599998,-23.870001,23.309999,21.93
2452455,0.923784,-0.042944,-0.016104,47.040001,-21.280001,18.900000,21.93
2452466,0.924272,-0.043432,-0.041480,43.610001,-19.320000,14.420000,21.98
2452477,0.918904,-0.052704,-0.070272,40.669998,-15.750000,9.870000,21.98
2452488,0.912072,-0.078080,-0.091256,41.860001,-12.320000,3.150000,21.99
2452500,0.910608,-0.106872,-0.131272,44.310001,-7.770000,-4.060000,21.95
2452511,0.915488,-0.130784,-0.156648,49.349998,-4.200000,-11.550000,21.95
2452522,0.916464,-0.159088,-0.164944,55.509998,-1.330000,-17.430000,21.97
2452533,0.918416,-0.193736,-0.171776,67.760002,3.430000,-24.920000,21.97
2452544,0.861808,-0.243024,-0.298168,66.150002,9.380000,-36.470001,21.98
2452555,0.864736,-0.151768,-0.301584,91.139999,15.330000,-42.209999,21.94
2452566,0.935008,-0.184464,-0.241072,104.230003,19.250000,-44.590000,21.94
2452577,0.888160,-0.153720,-0.238144,112.489998,28.840000,-54.529999,21.99
2452588,0.890112,-0.121512,-0.234240,117.809998,33.950001,-60.549999,21.99
2452600,0.880352,-0.102968,-0.236192,120.050003,38.430000,-69.019997,21.97
2452611,0.875960,-0.088328,-0.246928,123.480003,45.080002,-79.379997,21.94
2452623,0.874008,-0.109312,-0.277672,130.619995,50.820000,-90.720001,21.94
2452634,0.865224,-0.123952,-0.288408,143.500000,57.119999,-103.459999,21.98
2452645,0.834968,-0.061000,-0.285968,151.339996,66.080002,-113.610001,21.98
2452656,0.800808,0.016104,-0.357704,154.559998,70.980003,-125.720001,21.97
2452667,0.777872,0.153232,-0.193248,140.770004,73.220001,-135.449997,21.91
2452678,0.732000,0.207888,-0.110776,134.190002,74.900002,-144.899994,21.91
2452689,0.714920,0.322080,-0.040016,112.629997,74.059998,-153.929993,21.95
2452700,0.699792,0.240584,0.047336,113.959999,72.800003,-169.259995,21.95
2452711,0.695400,0.152744,0.162992,121.379997,74.059998,-196.770004,21.99
