timestamp_ms,ax,ay,az,gx,gy,gz,tempC
9021,0.545096,0.159576,0.886696,-4.060000,-16.100000,5.880000,23.88
9032,0.551440,0.175680,0.895968,-5.390000,-16.940001,7.280000,23.88
9043,0.595848,0.181536,0.912560,-13.440000,-18.620001,8.540000,23.89
9054,0.565592,0.119072,0.939400,-14.140000,-18.830000,9.660000,23.88
9065,0.583648,0.133712,0.943792,-14.490000,-22.120001,10.080000,23.88
9076,0.582184,0.088328,0.949160,-15.260000,-24.080000,9.940000,23.92
9087,0.589992,0.091744,0.928664,-11.970000,-27.860001,10.360000,23.92
9098,0.603168,0.117120,0.912560,-13.090000,-30.240000,10.920000,23.89
9109,0.611952,0.123464,0.900848,-14.210000,-32.130001,11.830000,23.84
9120,0.610000,0.119560,0.902800,-15.050000,-34.369999,12.950000,23.84
9131,0.616832,0.103944,0.908656,-18.129999,-36.750000,13.440000,23.87
9142,0.622200,0.078568,0.913536,-18.760000,-38.430000,13.860000,23.87
9153,0.621224,0.084424,0.905728,-18.690001,-40.599998,14.560000,23.88
9164,0.628056,0.097112,0.892552,-21.350000,-42.070000,14.910000,23.84
9175,0.626104,0.088328,0.871568,-23.030001,-43.610001,15.190000,23.84
9186,0.632448,0.079056,0.853024,-23.870001,-44.450001,15.260000,23.89
9197,0.633912,0.075640,0.839848,-25.690001,-45.080002,15.260000,23.89
9208,0.633424,0.056608,0.815936,-24.920000,-45.849998,14.980000,23.87
9219,0.636840,0.045384,0.788608,-25.270000,-46.270000,14.490000,23.87
9231,0.633424,0.037576,0.793488,-25.900000,-46.759998,14.000000,23.85
9242,0.638792,0.038552,0.801784,-26.670000,-47.250000,13.720000,23.86
9253,0.645624,0.020984,0.816424,-27.790001,-48.720001,13.020000,23.86
9264,0.659776,0.007808,0.825696,-27.230000,-50.540001,11.970000,23.94
9275,0.677832,0.015128,0.817400,-27.580000,-51.939999,10.290000,23.94
9286,0.686616,0.010736,0.799832,-28.490000,-53.970001,8.890000,23.87
9297,0.685640,0.000000,0.785680,-28.770000,-56.560001,7.210000,23.87
9307,0.689056,-0.025376,0.758352,-29.400000,-57.750000,5.460000,23.87
9318,0.696864,-0.019520,0.729072,-28.350000,-60.410000,3.500000,23.92
9330,0.718824,-0.010736,0.727608,-30.170000,-60.970001,1.400000,23.92
9341,0.725168,-0.027816,0.739320,-30.660000,-62.160000,-0.420000,23.94
9352,0.724680,-0.006832,0.750544,-31.780001,-64.330002,-2.030000,23.87
9363,0.732000,-0.006344,0.733464,-33.810001,-65.660004,-3.850000,23.87
9374,0.742248,-0.024888,0.694912,-31.430000,-66.010002,-6.020000,23.88
9385,0.734440,0.010736,0.678320,-30.240000,-68.459999,-7.210000,23.88
9396,0.708576,-0.023424,0.670512,-32.270000,-70.769997,-10.080000,23.90
9407,0.752496,-0.033672,0.664168,-26.180000,-70.699997,-11.620000,23.86
9418,0.771040,0.044408,0.668072,-29.190001,-70.279999,-11.900000,23.86
9429,0.777384,0.011712,0.668072,-33.180000,-69.160004,-13.510000,23.91
9440,0.777872,-0.023912,0.660264,-31.850000,-69.580002,-14.560000,23.91
9451,0.777872,0.013176,0.653920,-29.889999,-70.769997,-13.930000,23.89
9462,0.785680,0.037576,0.668072,-29.400000,-69.440002,-13.090000,23.89
9473,0.780800,0.027816,0.648064,-24.990000,-70.000000,-11.830000,23.87
9484,0.794464,0.074176,0.625616,-23.870001,-69.580002,-9.590000,23.86
9495,0.799832,0.087352,0.588528,-23.730000,-68.669998,-7.630000,23.86
9506,0.812032,0.096624,0.553392,-23.520000,-65.870003,-4.760000,23.90
9517,0.808128,0.108336,0.539728,-23.940001,-64.050003,-0.980000,23.90
9528,0.813496,0.106872,0.515816,-23.030001,-60.619999,2.030000,23.90
9539,0.818864,0.119560,0.492392,-21.980000,-57.189999,7.210000,23.85
9550,0.825208,0.115656,0.459696,-19.530001,-53.619999,12.670000,23.85
9561,0.831552,0.114680,0.431880,-14.000000,-49.139999,18.129999,23.90
9572,0.839848,0.138104,0.406016,-8.820000,-44.450001,25.620001,23.90
9583,0.857416,0.133224,0.360144,-7.280000,-35.349998,33.040001,23.93
9595,0.849608,0.012200,0.345504,-5.110000,-28.350000,39.060001,23.86
9605,0.816912,0.021472,0.325008,-2.170000,-25.480000,46.270000,23.86
9616,0.796904,0.020984,0.368928,-4.200000,-22.469999,51.799999,23.91
9627,0.848144,0.069296,0.468480,-12.040000,-14.700000,57.119999,23.91
9639,0.874984,-0.040992,0.523136,-25.200001,-9.030000,59.220001,23.89
9650,0.863760,-0.198616,0.588040,-31.290001,-11.900000,59.290001,23.89
9661,0.894504,-0.274256,0.652456,-40.880001,-16.030001,53.549999,23.89
9672,0.904264,-0.369416,0.671976,-50.889999,-20.440001,47.389999,23.94
9683,0.914512,-0.464088,0.659288,-55.720001,-25.270000,37.099998,23.94
9694,0.924760,-0.530944,0.637328,-54.669998,-31.920000,26.740000,23.92
9705,0.930616,-0.519232,0.580232,-54.880001,-37.590000,10.780000,23.92
9716,0.945744,-0.603656,0.549488,-54.810001,-43.540001,-8.260000,23.87
9727,0.965264,-0.704184,0.537288,-40.320000,-49.419998,-28.770000,23.90
9739,0.973072,-0.642696,0.529968,-24.780001,-56.209999,-48.720001,23.90
9750,0.954040,-0.526552,0.470920,-13.020000,-59.500000,-63.560001,23.90
9761,0.939888,-0.354776,0.386984,-10.150000,-61.529999,-77.980003,23.90
9772,0.930128,-0.267424,0.283528,-3.780000,-61.110001,-89.389999,23.87
9783,0.923296,-0.180560,0.218624,0.420000,-59.779999,-96.879997,23.92
9794,0.902800,-0.185928,0.171776,10.360000,-61.599998,-99.540001,23.92
9805,0.895480,-0.051728,0.180560,23.660000,-65.309998,-99.889999,23.90
9816,0.863760,0.183000,0.160064,24.150000,-62.299999,-92.330002,23.90
9827,0.869128,0.328424,0.095648,34.860001,-57.189999,-81.269997,23.90
9838,0.886696,0.480680,0.035624,42.349998,-45.220001,-68.040001,23.96
9849,0.885232,0.622688,-0.027328,52.779999,-31.639999,-48.509998,23.96
9861,0.752496,0.713456,-0.092232,59.430000,-16.940001,-26.040001,23.91
9871,0.845704,0.679784,-0.162992,65.870003,-2.660000,-3.500000,23.91
9882,0.899872,0.671976,-0.147376,63.980000,26.320000,21.070000,23.91
9893,0.986736,0.706136,-0.136640,54.740002,47.740002,55.509998,23.87
9904,0.685640,0.685640,-0.068320,23.940001,50.750000,72.029999,23.87
9915,0.821792,0.504592,-0.038064,2.940000,73.639999,94.849998,23.93
9926,0.727608,0.352336,0.071248,-17.010000,90.510002,104.930000,23.93
9937,0.685152,0.072224,0.243024,-25.900000,94.500000,118.580002,23.92
9948,0.652944,-0.115656,0.418216,-30.940001,88.410004,125.089996,23.89
9959,0.672952,-0.315248,0.516304,-39.970001,82.250000,130.830002,23.89
9970,0.710528,-0.235216,0.586576,-57.610001,76.860001,137.339996,23.92
9981,0.737368,-0.637816,0.607560,-63.209999,78.190002,107.940002,23.92
9992,0.675880,-0.708576,0.657824,-56.070000,64.470001,111.089996,23.89
10003,0.722728,-0.842288,0.676856,-64.400002,64.750000,84.000000,23.89
10014,0.670512,-0.959896,0.712480,-59.290001,61.529999,49.349998,23.86
10025,0.680272,-1.162904,0.737368,-38.500000,52.009998,19.670000,23.92
10036,0.685640,-1.213656,0.832528,-8.050000,33.740002,-20.299999,23.92
10047,0.706624,-1.130208,0.961360,21.770000,20.299999,-55.720001,23.95
10058,0.724192,-0.978440,1.020408,45.990002,9.730000,-86.800003,23.95
10069,0.714432,-0.741272,1.030168,56.490002,-5.950000,-104.720001,23.91
10080,0.752984,-0.400648,0.966240,52.570000,-20.160000,-120.330002,23.91
10091,0.790072,-0.244976,0.866688,53.759998,-27.090000,-130.619995,23.91
10102,0.727608,-0.101992,0.771040,57.820000,-47.180000,-130.759995,23.93
10113,0.817888,-0.025864,0.648552,60.200001,-39.549999,-148.119995,23.93
10125,0.863760,-0.052216,0.520696,76.720001,-45.430000,-126.419998,23.90
10136,0.709552,0.256200,0.372832,85.959999,-71.750000,-118.089996,23.89
10147,0.842776,0.489952,0.227408,87.989998,-51.799999,-90.089996,23.89
10158,0.807640,0.550464,0.179584,78.400002,-34.439999,-72.730003,23.95
10169,0.686128,0.734440,0.176168,66.989998,-36.540001,-47.110001,23.95
10180,0.867176,0.863272,0.146400,49.490002,-8.890000,-19.040001,23.88
10191,0.821792,0.898896,0.174704,24.639999,7.070000,31.430000,23.93
10202,0.782752,0.838384,0.188856,5.810000,15.190000,33.669998,23.93
10213,0.856928,0.784704,0.180072,-11.550000,28.559999,64.959999,23.92
10223,0.827648,0.694912,0.196176,-27.510000,41.720001,84.910004,23.92
10234,0.838872,0.483120,0.232776,-30.030001,52.570000,103.739998,23.95
10245,0.837896,0.281088,0.312808,-29.049999,58.730000,115.989998,23.95
10256,0.797880,0.118584,0.425048,-28.000000,59.500000,122.570000,23.90
10267,0.814472,-0.057584,0.502152,-30.870001,56.349998,125.230003,23.91
10278,0.821792,-0.129320,0.581696,-38.849998,49.490002,125.790001,23.91
10290,0.853512,-0.354776,0.585112,-54.389999,49.700001,118.930000,23.90
10301,0.805688,-0.570960,0.609024,-48.230000,40.110001,91.070000,23.90
10312,0.814960,-0.650504,0.654408,-51.730000,32.480000,91.559998,23.93
10323,0.778360,-0.868640,0.726632,-48.860001,23.940001,66.639999,23.86
10334,0.772016,-0.952576,0.776408,-34.790001,13.370000,41.160000,23.86
10345,0.808128,-1.009184,0.809592,-18.549999,3.710000,18.059999,23.89
10356,0.786656,-0.977464,0.837408,1.820000,-6.580000,-11.130000,23.89
10367,0.788120,-0.881816,0.838872,14.560000,-15.190000,-37.730000,23.92
10378,0.823744,-0.787144,0.827648,28.490000,-25.270000,-62.369999,23.91
10389,0.826184,-0.673440,0.827648,41.790001,-32.900002,-81.480003,23.91
10400,0.848144,-0.480192,0.797880,51.240002,-39.830002,-92.540001,23.95
10412,0.830088,-0.341112,0.760304,59.849998,-47.880001,-101.500000,23.95
10423,0.839360,-0.183488,0.685640,63.980000,-52.430000,-104.440002,23.93
10433,0.844728,-0.145424,0.578280,71.889999,-55.580002,-105.139999,23.87
10445,0.854000,0.061976,0.498248,70.349998,-56.630001,-96.250000,23.87
10456,0.857904,0.193736,0.375760,65.730003,-50.189999,-84.489998,23.95
10467,0.834968,0.251808,0.259128,67.830002,-42.490002,-70.769997,23.95
10478,0.822280,0.373808,0.191296,71.610001,-36.119999,-52.080002,23.95
10490,0.814472,0.573400,0.164944,60.619999,-23.660000,-29.049999,23.91
10501,0.804712,0.684664,0.178608,40.110001,-10.010000,-8.820000,23.91
10512,0.799344,0.688568,0.232288,13.860000,4.970000,17.990000,23.98
10523,0.786168,0.643672,0.266448,-6.510000,17.709999,42.980000,23.98
10534,0.772016,0.591944,0.285968,-26.250000,27.020000,65.870003,23.94
10545,0.779824,0.454816,0.281088,-39.689999,37.730000,79.800003,23.89
10556,0.778360,0.228384,0.296216,-40.040001,44.590000,91.559998,23.89
10567,0.782752,0.140544,0.357704,-40.950001,46.900002,100.660004,23.91
10578,0.798368,-0.020008,0.433832,-44.450001,49.490002,103.459999,23.91
10589,0.803248,-0.204472,0.509960,-46.270000,46.060001,105.209999,23.92
10600,0.815448,-0.357704,0.606584,-49.560001,40.040001,101.989998,23.92
10611,0.833016,-0.343064,0.679784,-61.529999,33.810001,98.349998,23.90
10622,0.855952,-0.482632,0.671488,-71.610001,29.400000,88.339996,23.90
10633,0.826184,-0.613416,0.690032,-69.510002,19.670000,72.519997,23.90
