timestamp_ms,ax,ay,az,gx,gy,gz,tempC
12192,0.692960,0.276696,0.674904,-20.930000,-88.269997,4.900000,20.11
12206,0.720776,0.244488,0.663680,-18.340000,-84.910004,7.910000,20.09
12218,0.726144,0.261080,0.640256,-15.470000,-82.529999,14.000000,20.09
12229,0.732976,0.231312,0.595360,-16.309999,-84.000000,13.720000,20.09
12240,0.742248,0.199592,0.550464,-10.430000,-81.339996,15.120000,20.09
12252,0.752496,0.184952,0.508984,5.320000,-70.279999,21.350000,20.11
12263,0.709552,0.115168,0.530944,20.020000,-81.550003,27.299999,20.09
12274,0.825208,0.260104,0.430904,23.940001,-66.220001,30.590000,20.09
12286,0.738344,0.148840,0.449936,14.420000,-70.839996,7.770000,20.15
12298,0.770552,0.219600,0.440176,8.470000,-62.160000,4.620000,20.15
12309,0.745664,0.166896,0.419192,4.970000,-64.470001,-0.280000,20.12
12321,0.747128,0.122488,0.409920,12.040000,-61.810001,-3.710000,20.17
12332,0.741272,0.173240,0.421144,23.590000,-60.549999,-4.200000,20.17
12344,0.749568,0.185440,0.385032,26.040001,-56.630001,-4.550000,20.14
12355,0.765184,0.138592,0.366488,40.040001,-44.590000,-3.010000,20.05
12367,0.736392,0.235216,0.342088,44.310001,-44.869999,-1.750000,20.05
12378,0.756888,0.232288,0.355752,41.020000,-38.709999,-1.610000,20.10
12389,0.724680,0.245464,0.369904,38.990002,-39.060001,-3.220000,20.10
12401,0.730536,0.329400,0.384544,29.889999,-36.540001,0.140000,20.11
12413,0.772504,0.321592,0.372344,16.379999,-33.810001,1.330000,20.12
12424,0.756400,0.327448,0.380640,8.260000,-28.350000,5.530000,20.12
12435,0.729072,0.387960,0.353800,-3.780000,-32.130001,11.270000,20.10
12446,0.806664,0.365024,0.338184,-13.020000,-23.730000,13.930000,20.10
12458,0.802272,0.364048,0.355752,-22.540001,-18.340000,17.850000,20.12
12469,0.810080,0.340136,0.383080,-30.870001,-13.790000,21.700001,20.11
12481,0.802760,0.345992,0.403576,-41.509998,-14.210000,25.480000,20.11
12492,0.816424,0.313784,0.400648,-51.660000,-13.720000,28.980000,20.12
12504,0.834480,0.202032,0.412848,-53.900002,-11.900000,29.889999,20.08
12515,0.845704,0.212280,0.404064,-64.959999,-9.870000,33.669998,20.08
12527,0.848144,0.164456,0.420168,-74.970001,-9.870000,36.330002,20.11
12538,0.854000,0.151280,0.469456,-82.110001,-5.600000,41.369999,20.11
12550,0.854976,0.091744,0.498736,-84.839996,-7.140000,41.160000,20.11
12562,0.872544,0.009272,0.545584,-83.440002,-6.930000,35.910000,20.09
12574,0.872544,-0.045384,0.567544,-78.610001,-9.520000,31.920000,20.09
12586,0.881816,-0.061000,0.562176,-76.650002,-12.460000,27.440001,20.14
12598,0.903776,-0.133712,0.580232,-69.930000,-13.230000,21.490000,20.09
12610,0.892552,-0.125416,0.578280,-60.900002,-15.260000,17.290001,20.09
12621,0.900848,-0.141032,0.550464,-50.119999,-14.000000,17.010000,20.14
12633,0.894992,-0.175192,0.533384,-38.009998,-19.040001,-0.350000,20.14
12645,0.894992,-0.167872,0.502640,-25.200001,-20.790001,-10.080000,20.12
12657,0.894992,-0.084912,0.510936,-17.780001,-23.520000,-16.520000,20.10
12669,0.896944,-0.073688,0.499224,-10.150000,-25.200001,-23.590000,20.10
12681,0.899872,-0.117120,0.476776,10.010000,-25.760000,-32.270000,20.11
12692,0.893528,-0.046848,0.467016,31.219999,-27.510000,-38.779999,20.14
12704,0.905240,-0.011224,0.426512,52.150002,-27.580000,-44.590000,20.14
12715,0.917928,0.048312,0.394792,74.269997,-26.740000,-49.349998,20.11
12727,0.922808,0.124928,0.326472,89.879997,-22.750000,-51.380001,20.11
12739,0.932568,0.121512,0.329888,104.230003,-18.690001,-49.840000,20.09
12750,0.906216,0.188368,0.314760,110.809998,-16.379999,-47.669998,20.13
12762,0.892552,0.231312,0.315248,116.900002,-12.600000,-39.200001,20.13
12774,0.863272,0.359168,0.300608,109.199997,-9.660000,-30.309999,20.12
12785,0.875960,0.346480,0.291336,96.669998,-3.080000,-20.090000,20.09
12797,0.850096,0.483608,0.284504,68.250000,-3.710000,-11.200000,20.09
12809,0.847656,0.527528,0.279136,23.520000,-0.210000,2.800000,20.11
12820,0.861808,0.483120,0.294752,-12.320000,4.970000,14.980000,20.11
12831,0.835944,0.515328,0.330864,-55.090000,6.510000,28.629999,20.08
12842,0.845216,0.389424,0.346480,-86.309998,7.420000,38.009998,20.09
12854,0.860832,0.341112,0.365512,-106.889999,9.870000,46.410000,20.09
12865,0.881816,0.305000,0.366488,-119.349998,12.250000,56.279999,20.10
12877,0.898896,0.298168,0.388448,-132.860001,12.880000,65.800003,20.14
12888,0.923296,0.244488,0.389912,-140.770004,14.350000,74.760002,20.14
12900,0.910608,0.149816,0.402112,-141.190002,14.980000,78.540001,20.06
12912,0.930128,0.016104,0.412848,-130.270004,16.520000,76.650002,20.06
12923,0.897920,-0.033672,0.406992,-114.449997,15.540000,72.589996,20.14
12935,0.890112,-0.140544,0.435784,-96.529999,15.260000,65.730003,20.08
12946,0.876448,-0.246440,0.496296,-83.019997,13.790000,56.419998,20.08
12958,0.870104,-0.372344,0.557784,-62.160000,12.250000,44.869999,20.11
12970,0.860344,-0.461160,0.566568,-41.860001,8.050000,30.240000,20.13
12981,0.866688,-0.453840,0.556320,-24.709999,4.410000,13.510000,20.13
12992,0.852536,-0.425536,0.546560,-14.910000,-0.420000,-1.120000,20.12
13004,0.853024,-0.404552,0.536312,-1.890000,-4.830000,-15.610000,20.12
13015,0.864248,-0.342088,0.528992,10.290000,-6.510000,-28.000000,20.15
13027,0.863272,-0.301096,0.541192,22.120001,-9.590000,-39.900002,20.09
13039,0.861808,-0.256200,0.532896,40.320000,-11.620000,-52.500000,20.09
13051,0.877912,-0.219112,0.528504,63.209999,-14.280000,-62.160000,20.11
13062,0.880352,-0.141520,0.516304,82.040001,-13.650000,-66.010002,20.11
13074,0.869616,-0.164456,0.500200,105.839996,-14.210000,-73.220001,20.12
13085,0.871568,-0.059536,0.464088,128.449997,-14.700000,-71.820000,20.11
13097,0.864736,0.118096,0.410896,132.089996,-15.540000,-65.449997,20.11
13108,0.858392,0.294752,0.348920,126.279999,-16.100000,-56.910000,20.14
13120,0.854000,0.362096,0.319640,115.080002,-14.070000,-49.560001,20.12
13131,0.851072,0.461160,0.333304,88.339996,-12.040000,-37.799999,20.12
13142,0.855464,0.501664,0.303048,51.099998,-9.730000,-24.290001,20.11
13154,0.871080,0.427000,0.312320,18.620001,-4.340000,-10.570000,20.11
13166,0.757864,0.431880,0.264984,-6.440000,-9.800000,-2.030000,20.11
13177,0.850584,0.485560,0.313296,-31.709999,0.210000,15.610000,20.11
13188,0.888160,0.432368,0.346480,-54.040001,7.910000,26.950001,20.11
13200,0.877912,0.383568,0.361608,-72.589996,11.200000,34.860001,20.11
13211,0.887672,0.243512,0.347944,-81.129997,9.940000,42.000000,20.11
13222,0.928176,0.171288,0.349408,-85.820000,14.070000,50.400002,20.13
13233,0.923296,0.159576,0.339160,-95.690002,14.280000,57.470001,20.10
13245,0.913048,0.140544,0.385520,-105.980003,12.040000,62.299999,20.10
13256,0.920368,0.094184,0.462624,-115.500000,13.930000,67.129997,20.07
13267,0.903776,0.020008,0.525088,-118.720001,10.640000,64.610001,20.07
13279,0.913536,-0.073688,0.569984,-116.970001,9.240000,58.590000,20.10
13290,0.897920,-0.272792,0.591456,-103.459999,6.930000,50.470001,20.12
13302,0.902312,-0.327448,0.577792,-86.239998,4.410000,43.610001,20.12
13313,0.887672,-0.378688,0.539240,-66.150002,-0.840000,32.060001,20.15
13325,0.892064,-0.426512,0.503616,-44.099998,-3.150000,17.780001,20.14
13336,0.877912,-0.471896,0.469944,-17.360001,-5.250000,3.570000,20.14
13348,0.869616,-0.427488,0.464576,8.820000,-9.520000,-13.930000,20.10
13359,0.881328,-0.331840,0.466040,29.820000,-9.730000,-27.370001,20.10
13371,0.875472,-0.271328,0.473848,47.740002,-9.520000,-40.040001,20.12
13383,0.870104,-0.156648,0.492392,56.700001,-10.850000,-51.169998,20.12
13394,0.879376,-0.131272,0.513864,66.639999,-13.020000,-57.889999,20.12
13406,0.890600,-0.125904,0.500200,85.820000,-14.420000,-65.660004,20.15
13417,0.906704,-0.091744,0.482632,104.930000,-14.000000,-71.400002,20.15
13428,0.914512,-0.038552,0.431880,129.429993,-11.200000,-70.209999,20.09
13440,0.913536,-0.013664,0.406992,141.470001,-8.190000,-68.739998,20.11
13452,0.868640,0.125416,0.419680,131.880005,-6.720000,-57.959999,20.11
13464,0.840824,0.321592,0.353312,98.209999,-7.770000,-43.889999,20.12
13475,0.842288,0.369904,0.312320,63.000000,-6.860000,-29.260000,20.07
13486,0.849120,0.446520,0.277672,30.450001,-4.830000,-16.940001,20.07
13498,0.766160,0.451400,0.334768,-0.910000,-3.710000,-5.950000,20.10
13510,0.836432,0.430416,0.366000,-34.230000,4.130000,10.920000,20.10
13521,0.853024,0.349408,0.405528,-60.970001,8.820000,26.459999,20.15
13533,0.874008,0.299632,0.419680,-79.730003,10.150000,39.270000,20.09
13545,0.866688,0.277672,0.433832,-92.889999,6.370000,48.930000,20.09
13556,0.891576,0.220576,0.463112,-102.830002,6.720000,57.889999,20.11
13568,0.912560,0.199104,0.516304,-112.349998,7.210000,64.120003,20.10
13579,0.936472,0.009272,0.517768,-117.250000,5.740000,65.449997,20.10
13591,0.925736,-0.016592,0.506544,-115.080002,4.270000,66.150002,20.14
13602,0.914512,-0.114680,0.509960,-104.860001,0.210000,60.270000,20.14
13614,0.900848,-0.223016,0.517280,-90.089996,-0.980000,52.639999,20.11
13625,0.902800,-0.245952,0.508984,-75.529999,-0.420000,43.259998,20.11
