timestamp_ms,ax,ay,az,gx,gy,gz,tempC
378308,0.122000,0.080520,1.216584,48.090000,-108.639999,59.779999,22.24
378319,0.145424,0.157136,1.186816,48.090000,-111.790001,65.940002,22.27
378332,0.189344,0.132736,1.155096,44.520000,-114.029999,70.980003,22.25
378343,0.212768,0.081008,1.114592,47.040001,-113.959999,73.849998,22.25
378354,0.212280,0.100528,1.060912,51.660000,-113.400002,80.150002,22.27
378366,0.220576,0.125904,1.037000,51.380001,-116.129997,86.940002,22.24
378378,0.278160,0.092720,1.015528,45.779999,-113.889999,92.610001,22.24
378389,0.291824,0.099064,1.032608,37.310001,-110.110001,95.970001,22.25
378400,0.306464,0.058560,0.976000,29.680000,-107.589996,98.980003,22.25
378412,0.321104,0.053192,0.973072,17.639999,-107.589996,103.040001,22.27
378423,0.325496,0.094184,0.978440,-0.070000,-109.269997,107.239998,22.21
378433,0.350384,0.080032,0.967216,-17.990000,-107.660004,107.449997,22.21
378444,0.375760,0.010248,0.957456,-35.070000,-104.089996,106.540001,22.28
378455,0.386008,-0.078080,0.934032,-39.200001,-100.730003,102.410004,22.28
378467,0.401624,-0.119560,0.893528,-39.900002,-98.769997,101.639999,22.27
378479,0.402600,-0.136640,0.873032,-44.169998,-99.470001,101.080002,22.29
378490,0.544608,-0.173728,0.858880,-48.650002,-77.980003,117.739998,22.29
378501,0.261568,-0.236680,0.897920,-41.860001,-98.629997,115.570000,22.24
378512,0.400648,-0.152256,0.818864,-50.959999,-123.339996,108.290001,22.24
378523,0.493368,-0.241560,0.763720,-58.310001,-98.070000,105.769997,22.25
378535,0.355264,-0.293288,0.788120,-63.490002,-109.970001,106.750000,22.25
378546,0.449936,-0.307928,0.778848,-68.040001,-107.800003,107.870003,22.25
378557,0.400648,-0.329400,0.790072,-74.550003,-106.190002,103.180000,22.24
378568,0.341112,-0.334280,0.786656,-82.459999,-115.709999,96.040001,22.24
378579,0.361608,-0.409920,0.724192,-86.029999,-122.080002,88.199997,22.24
378590,0.395280,-0.463112,0.647576,-83.019997,-117.389999,78.889999,22.30
378601,0.380152,-0.507032,0.590968,-75.110001,-118.720001,71.889999,22.30
378612,0.387960,-0.506056,0.519232,-63.490002,-120.120003,63.349998,22.28
378623,0.401624,-0.549000,0.504592,-48.369999,-117.599998,57.119999,22.28
378635,0.395768,-0.559736,0.504104,-35.490002,-117.110001,52.709999,22.31
378646,0.417728,-0.548512,0.507032,-20.510000,-115.150002,47.669998,22.27
378657,0.402600,-0.572424,0.518256,-1.400000,-115.639999,44.520000,22.27
378668,0.402600,-0.542656,0.497272,16.030001,-114.169998,40.250000,22.25
378680,0.438224,-0.549000,0.469944,26.809999,-113.540001,39.619999,22.25
378690,0.479216,-0.513864,0.457744,28.559999,-110.879997,37.169998,22.28
378701,0.487024,-0.525088,0.457744,27.790001,-108.500000,31.990000,22.25
378712,0.518256,-0.512400,0.445056,26.809999,-103.739998,33.810001,22.25
378723,0.532896,-0.505080,0.446520,26.670000,-96.809998,29.750000,22.29
378734,0.487024,-0.442128,0.424560,20.370001,-90.580002,13.160000,22.29
378745,0.505568,-0.624152,0.415776,21.350000,-81.900002,51.939999,22.27
378756,0.539728,-0.488000,0.390888,18.760000,-119.629997,41.230000,22.27
378768,0.606096,-0.504104,0.409920,11.200000,-101.779999,39.340000,22.21
378779,0.603168,-0.544120,0.389424,11.970000,-83.510002,43.959999,22.25
378790,0.648552,-0.504104,0.341112,2.800000,-82.389999,40.599998,22.25
378801,0.678320,-0.539240,0.318664,-2.730000,-72.309998,41.230000,22.30
378813,0.668072,-0.532896,0.355752,-6.930000,-60.900002,40.950001,22.22
378824,0.628544,-0.530944,0.380152,-13.440000,-55.580002,38.430000,22.22
378835,0.618296,-0.569496,0.382592,-15.540000,-48.230000,35.840000,22.25
378847,0.602680,-0.572912,0.385520,-18.620001,-40.740002,31.920000,22.25
378858,0.621224,-0.562176,0.387960,-23.309999,-30.730000,27.090000,22.26
378869,0.652456,-0.567544,0.366000,-27.860001,-26.040001,25.410000,22.24
378880,0.715408,-0.615856,0.363072,-28.770000,-23.940001,25.270000,22.24
378891,0.726144,-0.623176,0.377224,-27.230000,-18.969999,24.709999,22.23
378902,0.700768,-0.625616,0.376248,-27.090000,-17.219999,23.940001,22.23
378913,0.711504,-0.644648,0.372832,-28.770000,-17.290001,23.030001,22.28
378924,0.711504,-0.662704,0.383568,-32.270000,-17.219999,22.680000,22.28
378935,0.707112,-0.667584,0.415776,-37.730000,-17.780001,21.000000,22.20
378946,0.703208,-0.675880,0.432368,-43.400002,-18.690001,18.549999,22.25
378957,0.709064,-0.687104,0.424072,-46.900002,-21.280001,17.570000,22.25
378968,0.719800,-0.696376,0.397720,-47.529999,-22.190001,15.960000,22.26
