timestamp_ms,ax,ay,az,gx,gy,gz,tempC
5575597,0.348920,0.056120,0.781776,45.570000,-55.020000,55.790001,22.25
5575608,0.357216,0.259616,0.772504,35.910000,-51.380001,63.980000,22.20
5575620,0.403088,0.311832,0.825208,9.800000,-46.060001,71.120003,22.23
5575630,0.388936,0.246440,0.864736,-3.290000,-42.139999,72.660004,22.23
5575642,0.387472,0.143472,0.891088,-4.270000,-38.990002,71.680000,22.22
5575653,0.389424,0.073688,0.893528,-0.840000,-36.470001,68.529999,22.22
5575664,0.398696,-0.014640,0.895480,8.260000,-33.459999,65.519997,22.23
5575675,0.394304,-0.061000,0.882792,22.469999,-32.270000,63.000000,22.26
5575686,0.406016,-0.040992,0.843264,33.040001,-29.959999,60.900002,22.26
5575697,0.393328,0.003416,0.774456,18.270000,-27.790001,60.970001,22.22
5575708,0.403576,0.023424,0.702232,32.410000,-23.660000,56.139999,22.22
5575719,0.388936,0.043920,0.679784,28.629999,-19.389999,54.040001,22.21
5575730,0.381128,0.096136,0.687104,17.219999,-17.080000,55.230000,22.21
5575741,0.402600,0.109800,0.730048,2.870000,-13.580000,55.790001,22.22
5575752,0.403088,0.024400,0.771528,-5.950000,-11.200000,53.060001,22.17
5575763,0.401624,-0.036112,0.791536,-6.720000,-8.120000,50.330002,22.17
5575774,0.387960,-0.021960,0.813496,-4.760000,-7.280000,47.599998,22.27
5575785,0.386984,0.001464,0.793976,-2.590000,-6.440000,47.320000,22.27
5575796,0.402600,0.021960,0.756400,-6.650000,-4.620000,49.349998,22.22
5575807,0.382104,0.033672,0.717848,-8.960000,-1.890000,51.520000,22.22
5575818,0.379664,0.039528,0.672952,-13.510000,2.100000,51.240002,22.22
5575829,0.380640,0.024888,0.669536,-16.309999,6.440000,49.209999,22.26
5575840,0.375760,-0.013664,0.697352,-16.730000,9.590000,48.020000,22.26
5575851,0.396744,-0.045872,0.768600,-14.770000,10.780000,46.970001,22.23
5575862,0.398696,-0.075640,0.852536,-9.660000,11.130000,46.270000,22.24
5575873,0.396744,-0.057584,0.894016,-3.360000,10.920000,45.150002,22.24
5575885,0.377224,-0.040992,0.893040,3.150000,9.940000,44.240002,22.22
5575896,0.369416,-0.015128,0.895480,7.700000,8.960000,42.980000,22.22
5575906,0.368440,0.021472,0.874008,7.770000,8.190000,42.209999,22.25
