timestamp_ms,ax,ay,az,gx,gy,gz,tempC
423994,0.293776,0.194712,0.887672,18.969999,7.070000,4.550000,20.37
424005,0.295240,0.220088,0.910120,11.200000,6.370000,3.920000,20.36
424016,0.319640,0.283528,0.921344,3.710000,5.880000,5.600000,20.36
424027,0.316224,0.317200,0.938912,-8.610000,4.690000,4.830000,20.34
424039,0.326960,0.134200,0.933056,-20.719999,6.160000,3.430000,20.34
424050,0.323056,0.185440,0.949160,-22.680000,6.720000,2.450000,20.37
424062,0.300608,0.144936,0.926224,-15.330000,5.950000,1.190000,20.36
424073,0.301584,0.172752,0.942816,-5.040000,4.970000,-0.840000,20.36
424085,0.286456,0.288408,0.963800,-1.120000,3.360000,-0.560000,20.36
424096,0.327448,0.318664,0.965752,-4.830000,2.100000,0.700000,20.36
424107,0.380152,0.328912,0.980392,-17.990000,2.730000,3.360000,20.37
424119,0.256200,0.289872,0.992104,-28.490000,3.780000,4.690000,20.38
424130,0.353800,0.298656,1.017968,-37.380001,3.570000,6.510000,20.38
424141,0.344528,0.338184,1.024312,-46.270000,3.920000,7.840000,20.39
424153,0.314760,0.302072,1.015040,-54.180000,4.340000,7.560000,20.39
424165,0.326472,0.225456,0.987224,-59.150002,6.020000,6.300000,20.34
424176,0.342088,0.142496,0.961848,-59.290001,7.210000,6.230000,20.34
424187,0.353800,0.097112,0.956968,-52.990002,6.860000,4.830000,20.34
424199,0.377224,0.086376,0.964288,-49.910000,7.560000,4.270000,20.36
424210,0.386008,0.058560,0.968192,-41.930000,9.730000,2.870000,20.35
424222,0.388936,0.031232,0.990152,-32.270000,16.520000,3.780000,20.35
424233,0.334768,0.034648,0.948672,-25.900000,8.260000,0.420000,20.39
424245,0.389424,0.080520,0.921832,-26.600000,12.320000,-0.070000,20.39
424257,0.361608,0.112728,0.932080,-30.450001,11.200000,-0.210000,20.37
424269,0.388936,0.091744,0.963800,-35.770000,10.640000,-2.030000,20.39
424280,0.394792,0.086376,0.993568,-41.720001,10.500000,-2.800000,20.39
424291,0.387960,0.035136,1.012112,-47.740002,8.400000,-3.010000,20.33
424302,0.393328,0.007808,1.024312,-49.209999,8.050000,-4.060000,20.33
424314,0.396256,-0.060024,0.967216,-45.849998,7.840000,-4.620000,20.38
424325,0.379664,-0.060512,0.940376,-38.360001,5.460000,-2.940000,20.39
424337,0.389424,-0.007808,0.932080,-32.759998,3.780000,-2.450000,20.39
424348,0.399672,0.005368,0.940864,-27.299999,3.290000,-4.550000,20.37
424359,0.417728,0.013664,0.936960,-22.959999,3.710000,-5.180000,20.37
424371,0.414312,0.081496,0.959896,-24.219999,0.560000,-4.200000,20.40
424383,0.428464,0.108824,0.977464,-33.740002,0.630000,-3.150000,20.35
424394,0.439200,0.018544,0.990640,-42.560001,0.350000,-0.560000,20.35
424405,0.438224,-0.066856,0.986248,-44.730000,0.560000,-0.490000,20.37
424416,0.436272,-0.086864,0.964776,-43.470001,1.050000,2.800000,20.35
424428,0.425048,-0.071248,0.954528,-40.110001,-0.630000,4.620000,20.35
424439,0.418704,-0.065880,0.939400,-37.590000,-1.470000,4.200000,20.39
424451,0.402112,-0.071248,0.910608,-37.660000,-0.980000,3.990000,20.39
424462,0.376248,-0.099064,0.893040,-35.000000,-1.540000,3.290000,20.39
424474,0.381616,-0.156160,0.878888,-27.580000,0.560000,0.000000,20.29
424485,0.334280,-0.134688,0.899872,-18.760000,-0.140000,-2.520000,20.29
424496,0.311344,-0.108824,0.919880,-15.120000,-2.450000,-3.150000,20.36
424508,0.309392,-0.123464,0.943792,-12.460000,-5.320000,-3.850000,20.36
424519,0.317200,-0.081008,0.952576,-9.730000,-7.490000,-3.570000,20.42
424531,0.280600,-0.001464,0.947208,-11.830000,-9.940000,-3.360000,20.36
424543,0.279624,0.020496,0.932568,-18.059999,-12.390000,-3.710000,20.36
424554,0.274744,0.008784,0.926712,-22.469999,-13.650000,-2.940000,20.37
424566,0.237168,0.065392,0.931592,-27.860001,-16.309999,-1.190000,20.36
424577,0.261568,0.036600,0.937936,-30.309999,-15.610000,-1.260000,20.36
424589,0.255224,-0.040992,0.942816,-24.430000,-15.820000,-0.070000,20.35
424600,0.257176,-0.068808,0.944280,-11.970000,-15.120000,0.140000,20.35
424612,0.247904,-0.014640,0.940376,-2.170000,-17.150000,0.770000,20.36
424624,0.264496,0.011712,0.942816,0.140000,-17.360001,1.540000,20.36
424635,0.269864,0.023424,0.939400,-1.120000,-15.610000,1.750000,20.36
424646,0.258640,0.051728,0.950624,-5.390000,-15.260000,3.920000,20.34
424657,0.266936,0.018544,0.958432,-11.480000,-14.980000,5.250000,20.34
424669,0.280112,-0.036112,0.964288,-14.560000,-14.840000,5.880000,20.38
424680,0.285480,-0.045872,0.976976,-15.330000,-14.840000,5.810000,20.39
424692,0.287432,-0.051240,0.980392,-15.540000,-14.560000,4.620000,20.39
424703,0.284016,-0.061488,0.955016,-15.120000,-13.230000,3.290000,20.38
424715,0.270840,-0.084912,0.935496,-12.740000,-12.880000,1.750000,20.37
424726,0.295728,-0.109312,0.925248,-9.730000,-10.710000,3.710000,20.37
424737,0.300608,-0.086376,0.916464,-8.260000,-8.330000,2.940000,20.39
424749,0.300120,-0.083936,0.920368,-3.640000,-7.560000,3.850000,20.39
424761,0.312808,-0.071248,0.935496,-1.330000,-6.720000,2.170000,20.35
424772,0.323544,-0.090768,0.949648,-0.420000,-3.920000,1.540000,20.36
424784,0.321592,-0.097112,0.960384,1.400000,-3.010000,1.190000,20.36
424795,0.323056,-0.075640,0.972096,2.240000,-3.640000,1.680000,20.39
424807,0.328424,-0.081496,0.971120,1.960000,-3.850000,2.240000,20.39
424819,0.339648,-0.074664,0.962824,0.560000,-3.990000,3.570000,20.36
424830,0.357704,-0.090768,0.965752,-2.660000,-3.010000,3.920000,20.31
424841,0.358680,-0.103944,0.964776,-3.500000,-2.520000,3.850000,20.31
424853,0.361608,-0.103944,0.958432,-3.430000,-2.310000,3.920000,20.37
424864,0.363072,-0.118584,0.952576,-4.830000,-2.940000,4.690000,20.33
424876,0.368928,-0.097600,0.966240,-8.470000,-3.220000,5.950000,20.33
424888,0.380640,-0.110288,0.989664,-12.600000,-3.150000,6.090000,20.35
424899,0.385520,-0.161528,0.992104,-10.360000,-1.470000,5.110000,20.35
424911,0.383568,-0.199592,0.999424,-4.410000,-1.820000,4.130000,20.37
424922,0.385032,-0.220576,0.986248,0.350000,-2.240000,2.800000,20.33
424934,0.378200,-0.205936,0.978440,1.330000,-2.590000,3.150000,20.33
424945,0.389912,-0.207400,0.964288,4.130000,-2.380000,3.500000,20.37
424957,0.375272,-0.160552,0.956480,5.460000,-2.520000,3.850000,20.37
424968,0.364048,-0.087840,0.943304,2.310000,-2.800000,3.710000,20.36
424980,0.371368,-0.067832,0.955504,-6.440000,-3.430000,3.570000,20.36
424992,0.385032,-0.102480,0.964776,-9.380000,-2.660000,2.660000,20.36
425003,0.370392,-0.137616,0.954040,-9.940000,-3.150000,2.100000,20.39
425015,0.383080,-0.179584,0.954528,-8.820000,-2.660000,0.630000,20.40
425026,0.365024,-0.171776,0.948672,-5.250000,-2.520000,0.770000,20.40
425038,0.357216,-0.173240,0.947696,-1.330000,-3.360000,1.330000,20.39
425049,0.358680,-0.148840,0.937936,0.910000,-3.640000,1.470000,20.39
425061,0.356240,-0.116632,0.926224,3.010000,-3.640000,1.680000,20.35
425072,0.347944,-0.076616,0.933056,1.750000,-2.870000,0.770000,20.36
425083,0.352824,-0.086864,0.934032,-1.610000,-1.680000,0.210000,20.36
425094,0.337696,-0.100040,0.931592,-1.960000,-1.540000,-0.280000,20.34
425106,0.333304,-0.102480,0.928176,-4.900000,-1.400000,-0.700000,20.34
425117,0.344528,-0.187392,0.921344,-5.810000,-0.420000,-1.540000,20.32
425129,0.355752,-0.210328,0.922808,-1.190000,0.210000,-2.520000,20.38
425140,0.360632,-0.175680,0.915488,5.040000,0.000000,-4.200000,20.38
425152,0.372344,-0.183488,0.922808,11.620000,0.490000,-6.230000,20.38
425163,0.389912,-0.171776,0.927200,15.260000,2.310000,-7.280000,20.37
425174,0.381616,-0.134200,0.941352,17.709999,3.220000,-8.190000,20.37
425186,0.438712,-0.097600,0.960872,15.120000,1.750000,-8.050000,20.37
425196,0.526552,-0.100528,0.986248,9.030000,0.420000,-6.230000,20.37
425208,0.591944,-0.115656,1.001376,0.560000,-0.770000,-2.310000,20.35
425219,0.686616,-0.148840,0.999424,-5.880000,-2.100000,2.240000,20.35
425231,0.755912,-0.178120,0.999912,-12.810000,-4.200000,7.070000,20.35
425242,0.846192,-0.239608,1.005280,-22.400000,-7.840000,12.460000,20.37
425254,0.939400,-0.287920,0.962336,-26.180000,-13.090000,15.470000,20.37
425265,1.018456,-0.349408,0.908656,-27.580000,-15.750000,17.290001,20.39
