timestamp_ms,ax,ay,az,gx,gy,gz,tempC
613267,0.441640,-0.120048,0.740784,2.380000,-76.300003,30.799999,19.75
613278,0.445544,-0.099552,0.679784,2.100000,-74.199997,32.410000,19.75
613290,0.426512,-0.073688,0.671000,-1.540000,-69.860001,33.389999,19.74
613301,0.417728,-0.058072,0.689544,-6.790000,-66.360001,34.160000,19.71
613312,0.405528,-0.061488,0.707112,-8.820000,-60.689999,34.230000,19.71
613323,0.388448,-0.075640,0.713456,-7.420000,-55.790001,33.740002,19.75
613334,0.388936,-0.110776,0.699792,-4.340000,-52.570000,33.110001,19.75
613346,0.391376,-0.147376,0.673928,0.000000,-48.580002,32.480000,19.73
613356,0.384544,-0.160552,0.656360,2.870000,-44.939999,31.920000,19.68
613367,0.386984,-0.149816,0.636352,2.660000,-41.160000,31.430000,19.68
613378,0.385032,-0.134688,0.582184,-1.470000,-37.240002,30.940001,19.75
613389,0.376248,-0.110776,0.544608,-3.710000,-33.250000,30.940001,19.75
613400,0.415288,-0.114192,0.542656,-4.200000,-29.400000,30.799999,19.70
613411,0.412848,-0.151768,0.565592,-5.040000,-25.129999,28.000000,19.72
613422,0.423584,-0.173240,0.607560,-6.580000,-22.190001,25.830000,19.72
613433,0.433832,-0.219600,0.622688,-4.760000,-19.670000,23.520000,19.73
613444,0.435296,-0.223016,0.629520,-1.890000,-17.570000,21.420000,19.73
613455,0.435296,-0.206912,0.610488,-0.910000,-16.379999,18.760000,19.77
613466,0.464576,-0.186904,0.579744,-0.140000,-12.740000,17.920000,19.71
613477,0.481656,-0.213256,0.554856,-2.030000,-6.300000,16.940001,19.71
613488,0.482632,-0.238144,0.549488,-4.200000,-1.540000,16.170000,19.72
613499,0.487024,-0.283040,0.575840,-0.700000,3.290000,14.980000,19.72
613510,0.485560,-0.302072,0.611952,1.890000,7.980000,13.580000,19.72
613521,0.498736,-0.272792,0.648552,3.360000,8.680000,15.330000,19.72
613532,0.555832,-0.240584,0.707600,-4.760000,11.410000,16.520000,19.69
613543,0.565104,-0.234728,0.760792,-13.440000,15.190000,17.780001,19.73
613554,0.589992,-0.265472,0.800808,-21.559999,16.379999,18.340000,19.73
613565,0.626104,-0.392840,0.826672,-30.309999,18.900000,19.250000,19.74
613576,0.629032,-0.423096,0.881328,-41.860001,16.450001,21.070000,19.74
613587,0.682224,-0.443104,0.921832,-50.330002,11.760000,24.570000,19.75
613598,0.711504,-0.464088,0.982832,-59.500000,8.960000,26.110001,19.67
613609,0.740296,-0.457256,1.043832,-61.810001,7.910000,27.230000,19.67
613620,0.740784,-0.465552,1.084824,-56.980000,8.050000,26.389999,19.68
613631,0.718824,-0.447496,1.085800,-51.799999,6.300000,24.290001,19.68
613642,0.726632,-0.441640,1.057496,-43.189999,6.020000,23.030001,19.73
613653,0.701256,-0.458720,1.025776,-27.440001,3.570000,21.209999,19.74
613664,0.710528,-0.468480,0.963312,-12.600000,-8.120000,19.740000,19.74
613675,0.722728,-0.380640,0.953064,-11.830000,-12.320000,21.209999,19.75
613687,0.725656,-0.352336,1.021384,-15.960000,-16.170000,23.379999,19.75
613698,0.700768,-0.291336,1.081408,-26.670000,-23.309999,27.370001,19.74
613709,0.680760,-0.271328,1.095560,-39.549999,-31.150000,30.240000,19.74
613720,0.667096,-0.333304,1.085800,-45.849998,-38.919998,32.759998,19.73
613730,0.630496,-0.334280,1.031144,-51.029999,-46.619999,34.720001,19.71
613742,0.610000,-0.289384,0.937936,-60.200001,-55.299999,36.189999,19.71
613752,0.598288,-0.357704,0.815936,-62.020000,-62.090000,36.330002,19.74
613764,0.581208,-0.369416,0.724680,-55.650002,-67.550003,34.580002,19.74
613775,0.570472,-0.323056,0.681736,-49.840000,-72.800003,33.529999,19.71
613786,0.561688,-0.343064,0.664168,-42.139999,-75.599998,30.030001,19.71
613797,0.553880,-0.387960,0.626104,-31.850000,-77.980003,25.270000,19.71
613808,0.522648,-0.357216,0.551440,-23.660000,-79.309998,22.540001,19.72
613819,0.513864,-0.361608,0.507032,-19.950001,-79.519997,20.299999,19.72
613830,0.495320,-0.411872,0.474336,-13.160000,-78.540001,17.500000,19.73
613841,0.492880,-0.401136,0.448472,-4.970000,-77.980003,15.540000,19.71
613852,0.487512,-0.407480,0.434320,1.960000,-75.320000,13.230000,19.71
613863,0.481656,-0.424072,0.420656,11.760000,-71.680000,11.340000,19.73
613874,0.514352,-0.432368,0.400160,18.690001,-64.330002,9.380000,19.73
613885,0.482632,-0.433832,0.409432,26.180000,-59.779999,7.630000,19.75
613896,0.481168,-0.458232,0.250832,36.259998,-53.410000,5.530000,19.78
613907,0.484584,-0.475312,0.335256,43.540001,-44.939999,2.100000,19.78
613918,0.503128,-0.463112,0.325008,52.360001,-38.430000,-0.420000,19.71
613929,0.522648,-0.445056,0.315736,60.830002,-26.250000,-3.500000,19.71
613940,0.522160,-0.481168,0.328424,68.669998,-17.639999,-4.620000,19.71
613951,0.528992,-0.492880,0.396256,76.300003,-8.540000,-5.320000,19.71
613962,0.525088,-0.467504,0.492880,77.209999,-1.890000,-4.690000,19.70
613973,0.521672,-0.571936,0.569496,78.120003,2.520000,-4.200000,19.69
613984,0.526064,-0.534848,0.616344,75.599998,6.930000,-7.350000,19.69
613995,0.546072,-0.386496,0.663680,60.270000,5.670000,-4.550000,19.75
614006,0.567056,-0.463600,0.587064,56.770000,8.470000,-8.610000,19.75
614017,0.558272,-0.491904,0.573400,53.270000,12.740000,-12.600000,19.70
614027,0.593408,-0.509960,0.497272,46.480000,18.480000,-17.080000,19.73
614038,0.575352,-0.415288,0.495320,29.820000,18.059999,-17.709999,19.73
614049,0.561200,-0.328912,0.585600,8.610000,19.740000,-13.650000,19.70
614060,0.540216,-0.474824,0.749080,-3.500000,15.120000,-16.590000,19.70
614071,0.625128,-0.360144,0.858392,-15.120000,12.110000,-17.010000,19.75
614082,0.887672,-0.242536,0.607560,-23.240000,9.590000,-6.090000,19.75
614093,1.103368,-0.510936,1.064328,-49.419998,24.990000,-6.440000,19.68
614104,0.802760,-0.364536,0.895480,-50.330002,24.010000,-13.020000,19.69
614115,0.721264,-0.366000,0.793000,-65.169998,25.690001,-9.730000,19.69
614127,0.688080,-0.474824,0.723216,-71.470001,28.209999,-5.040000,19.75
614138,0.654896,-0.615856,0.799344,-63.000000,25.200001,-8.120000,19.75
614149,0.646600,-0.389912,0.817400,-60.759998,15.260000,-7.630000,19.75
614160,0.717848,-0.217160,0.813008,-58.450001,15.610000,-9.240000,19.71
614171,0.773968,-0.250832,0.791048,-54.529999,20.160000,-15.120000,19.71
614182,0.758352,-0.409432,0.668560,-45.360001,24.990000,-25.830000,19.67
614193,0.743224,-0.435784,0.676368,-37.799999,23.240000,-30.100000,19.67
614204,0.779824,-0.512400,0.858880,-32.619999,21.490000,-30.940001,19.75
614215,0.736880,-0.605608,0.909144,-10.220000,16.450001,-37.520000,19.71
614226,0.728584,-0.442616,0.978440,-2.940000,8.050000,-38.430000,19.71
614237,0.715408,-0.315736,0.974536,-11.200000,3.990000,-39.200001,19.76
614248,0.707112,-0.374296,0.882792,-21.420000,9.380000,-44.240002,19.76
614259,0.761768,-0.547048,0.727120,-12.250000,12.600000,-53.759998,19.71
614270,0.739320,-0.676856,0.584624,3.990000,17.709999,-60.689999,19.75
614281,0.679784,-0.856440,0.360144,44.169998,36.330002,-71.470001,19.75
614292,0.622200,-0.965752,0.273280,80.849998,60.480000,-56.910000,19.71
614303,0.406016,-0.786168,0.302072,120.680000,67.480003,-73.919998,19.71
614314,0.423096,-0.569984,0.420656,163.100006,53.410000,-76.580002,19.74
614325,0.619272,-0.591456,0.500688,202.020004,49.490002,-66.919998,19.68
614336,0.604144,-0.584624,0.549000,238.630005,52.919998,-80.639999,19.68
614347,0.599264,-0.358192,0.591456,283.359985,53.340000,-82.669998,19.72
614358,0.591456,-0.249368,0.575840,309.190002,55.369999,-62.720001,19.72
614369,0.619760,-0.270840,0.541192,355.529999,62.439999,-57.470001,19.68
614380,0.565104,-0.336720,0.393816,366.450012,70.070000,-120.750000,19.68
614392,0.810568,-0.218136,0.238632,382.619995,54.110001,-51.310001,19.72
614403,0.429928,-0.375272,0.198128,450.239990,70.349998,-59.430000,19.74
614414,0.636352,-0.243512,0.104432,496.160004,65.309998,-47.320000,19.74
614425,0.657824,-0.006832,0.063928,548.030029,68.669998,-51.240002,19.74
614436,0.627080,0.469456,0.130296,552.090027,65.449997,-14.630000,19.74
614447,0.554856,0.827160,0.195688,526.119995,57.889999,-2.240000,19.74
