timestamp_ms,ax,ay,az,gx,gy,gz,tempC
822273,0.461160,0.512400,1.039928,46.759998,-41.230000,25.760000,19.64
822284,0.467992,0.507032,1.030656,38.500000,-45.709999,29.330000,19.63
822295,0.503128,0.481168,1.014552,26.950001,-48.160000,32.830002,19.63
822306,0.499224,0.488488,0.999424,13.370000,-51.450001,35.840000,19.65
822318,0.516792,0.497760,0.973560,-0.350000,-53.549999,39.410000,19.57
822329,0.530456,0.466040,0.954040,-9.800000,-54.389999,42.279999,19.57
822340,0.563640,0.398208,0.915976,-10.920000,-53.970001,44.029999,19.66
822352,0.595360,0.389424,0.898408,-9.310000,-52.500000,44.450001,19.66
822363,0.610488,0.342576,0.888648,-5.670000,-50.540001,44.730000,19.62
822374,0.635376,0.356728,0.884256,-4.760000,-46.689999,44.029999,19.62
822385,0.633424,0.360144,0.876448,-9.240000,-44.310001,43.750000,19.62
822397,0.612928,0.347944,0.867176,-13.580000,-44.660000,45.570000,19.64
822408,0.623176,0.354776,0.853512,-15.960000,-42.980000,46.549999,19.64
822419,0.597800,0.338184,0.829112,-19.389999,-46.549999,50.049999,19.66
822430,0.619760,0.328424,0.830576,-21.629999,-49.279999,53.340000,19.66
822442,0.601704,0.340136,0.835456,-24.080000,-52.709999,54.669998,19.66
822453,0.631960,0.341600,0.828136,-28.350000,-51.240002,56.419998,19.61
822464,0.618784,0.305976,0.835944,-31.360001,-50.259998,57.400002,19.61
822475,0.601704,0.297192,0.819840,-30.100000,-50.820000,59.709999,19.60
822487,0.586088,0.301096,0.804224,-31.500000,-52.570000,61.320000,19.58
822498,0.602680,0.260104,0.770552,-33.740002,-52.709999,62.160000,19.58
822509,0.594384,0.256200,0.775920,-36.400002,-53.619999,62.439999,19.61
822521,0.587064,0.263032,0.790560,-42.630001,-54.529999,62.160000,19.62
822532,0.584624,0.223016,0.797392,-49.630001,-55.580002,61.810001,19.62
822544,0.607072,0.180560,0.782264,-51.450001,-55.860001,70.910004,19.62
822555,0.544608,0.154696,0.738344,-46.619999,-57.750000,63.279999,19.62
822566,0.577792,0.157136,0.719800,-42.630001,-58.169998,63.490002,19.63
822577,0.599264,0.114192,0.692472,-38.009998,-58.099998,62.509998,19.63
822589,0.608536,0.109312,0.686616,-35.770000,-57.680000,62.230000,19.63
822600,0.610976,0.120048,0.689544,-33.950001,-57.610001,60.970001,19.62
822611,0.631960,0.101504,0.696864,-31.500000,-57.259998,59.360001,19.62
822622,0.628544,0.098576,0.695888,-29.120001,-58.450001,59.990002,19.64
822634,0.664656,0.075152,0.693448,-28.770000,-59.849998,61.810001,19.59
822645,0.688080,0.080032,0.691984,-28.420000,-59.570000,62.580002,19.59
822656,0.692960,0.042944,0.688568,-26.110001,-59.709999,63.700001,19.61
822667,0.717848,0.054656,0.689544,-25.129999,-60.270000,65.309998,19.61
822679,0.800808,0.076128,0.664656,-28.629999,-61.459999,88.339996,19.62
822690,0.639280,0.070760,0.665144,-30.590000,-61.529999,64.400002,19.62
822701,0.738344,0.033184,0.663192,-36.680000,-61.040001,67.830002,19.62
822712,0.725168,0.076128,0.666608,-42.000000,-62.230000,68.949997,19.60
822724,0.736392,0.059048,0.659776,-47.180000,-64.889999,70.209999,19.60
822735,0.763720,0.011712,0.629032,-46.619999,-65.940002,71.050003,19.61
822746,0.763232,0.031232,0.610000,-48.230000,-67.620003,73.779999,19.60
822758,0.777872,-0.042944,0.589016,-44.660000,-68.739998,75.180000,19.60
822769,0.777384,-0.036600,0.578768,-44.169998,-69.089996,75.180000,19.59
822781,0.772992,-0.046360,0.561688,-51.380001,-70.070000,75.320000,19.59
822792,0.751520,-0.065392,0.520696,-55.930000,-71.120003,74.970001,19.61
822803,0.761280,-0.124440,0.536312,-58.869999,-73.639999,74.690002,19.61
822815,0.737856,-0.131272,0.525088,-50.750000,-76.230003,74.410004,19.61
822826,0.743224,-0.131272,0.509472,-45.779999,-81.900002,76.580002,19.61
822838,0.772504,-0.116632,0.493368,-46.060001,-86.099998,78.260002,19.62
822850,0.779824,-0.139568,0.470920,-45.360001,-89.389999,78.820000,19.62
822861,0.793976,-0.184952,0.447496,-42.980000,-91.349998,78.750000,19.62
822872,0.787144,-0.188856,0.419680,-40.529999,-93.309998,78.330002,19.62
822883,0.774944,-0.185928,0.382104,-39.200001,-95.690002,79.589996,19.66
822895,0.756888,-0.142496,0.339648,-37.590000,-97.160004,81.480003,19.59
822906,0.767136,-0.209352,0.277184,-32.130001,-98.209999,83.019997,19.59
822918,0.785680,-0.284016,0.225456,-21.280001,-97.230003,86.099998,19.65
822930,0.773480,-0.309392,0.184952,-10.570000,-96.809998,88.550003,19.65
822941,0.781288,-0.298656,0.145424,-6.020000,-96.180000,90.720001,19.63
822953,0.772016,-0.292800,0.126392,-9.380000,-92.889999,91.769997,19.62
822964,0.740296,-0.331352,0.122488,-13.790000,-89.529999,92.680000,19.62
822975,0.715408,-0.397232,0.114192,-17.010000,-86.449997,93.099998,19.62
822987,0.701256,-0.438712,0.098576,-19.670000,-84.279999,92.610001,19.62
822999,0.692472,-0.480192,0.052704,-21.350000,-81.410004,91.279999,19.59
823010,0.699304,-0.505080,0.013664,-21.000000,-76.930000,89.459999,19.64
823021,0.705160,-0.593408,-0.060512,-15.540000,-70.980003,85.959999,19.64
823033,0.700768,-0.648064,-0.095160,-7.490000,-67.620003,81.970001,19.65
823044,0.691008,-0.669536,-0.101016,-3.710000,-62.230000,77.629997,19.63
823056,0.681248,-0.680760,-0.098088,-2.100000,-57.470001,73.290001,19.63
823068,0.680272,-0.709552,-0.093208,-3.500000,-53.549999,67.550003,19.63
823079,0.664656,-0.751520,-0.063440,-7.980000,-50.259998,61.180000,19.63
823091,0.657336,-0.815448,-0.051240,-11.690000,-48.020000,53.830002,19.58
823102,0.658312,-0.828136,-0.062952,-17.780001,-44.730000,45.080002,19.64
823114,0.670024,-0.904752,-0.077104,-24.639999,-40.599998,35.000000,19.64
823126,0.653432,-1.002352,-0.097112,-28.490000,-39.200001,23.590000,19.61
823137,0.674904,-1.055544,-0.138592,-30.799999,-37.520000,10.990000,19.63
823149,0.671976,-1.085800,-0.186416,-30.030001,-33.880001,-3.990000,19.63
823161,0.660752,-1.168760,-0.199592,-24.430000,-28.770000,-21.350000,19.62
823175,0.641720,-1.181448,-0.231800,-7.840000,-25.480000,-43.330002,19.61
823186,0.620736,-1.207800,-0.268888,9.100000,-20.860001,-60.970001,19.61
823198,0.613904,-1.241472,-0.317688,26.530001,-12.250000,-85.470001,19.62
823209,0.538752,-1.315160,-0.356728,48.930000,-13.580000,-110.320000,19.62
823221,0.574376,-1.318576,-0.450912,77.349998,-5.880000,-140.210007,19.64
823232,0.477264,-1.358104,-0.593408,128.100006,7.630000,-181.929993,19.62
823244,0.485560,-1.335656,-0.763232,183.610001,9.800000,-223.020004,19.62
823255,0.296216,-1.401536,-0.957944,248.850006,28.559999,-300.649994,19.64
