timestamp_ms,ax,ay,az,gx,gy,gz,tempC
441785,0.732000,0.154696,0.803248,-40.599998,-31.639999,17.500000,21.94
441796,0.725168,0.167384,0.805688,-45.709999,-34.509998,19.670000,21.94
441807,0.754936,0.131272,0.797880,-47.740002,-35.070000,20.510000,21.91
441818,0.758840,0.092720,0.781776,-47.250000,-35.840000,20.650000,21.91
441828,0.761280,0.086864,0.753960,-45.849998,-36.119999,20.719999,21.91
441839,0.753472,0.130296,0.746152,-46.970001,-38.360001,22.120001,21.90
441850,0.770552,0.141032,0.742248,-48.860001,-38.150002,21.910000,21.90
441861,0.754936,0.143960,0.769576,-50.820000,-41.439999,22.889999,21.93
441872,0.774456,0.109312,0.771528,-50.330002,-43.189999,23.170000,21.93
441883,0.763232,0.119560,0.779824,-49.980000,-45.290001,23.730000,21.90
441894,0.763720,0.120048,0.781288,-50.470001,-47.599998,24.080000,21.89
441905,0.750544,0.129320,0.774944,-49.910000,-49.419998,23.870001,21.89
441916,0.744688,0.116144,0.749568,-47.810001,-51.029999,23.520000,21.93
441927,0.736392,0.111264,0.720288,-44.099998,-52.360001,22.330000,21.93
441938,0.728096,0.111264,0.692472,-40.529999,-53.340000,20.790001,21.96
441949,0.732488,0.090280,0.651480,-38.080002,-53.270000,19.670000,21.96
441960,0.713456,0.106384,0.628544,-35.209999,-53.340000,18.969999,21.91
441971,0.715896,0.111752,0.612440,-34.439999,-52.150002,18.969999,21.91
441982,0.712480,0.048312,0.594384,-32.830002,-50.680000,18.690001,21.91
441993,0.712480,0.042456,0.590480,-30.799999,-49.490002,19.530001,21.94
442004,0.713456,0.074176,0.605120,-30.379999,-48.439999,20.650000,21.94
442015,0.725656,0.103456,0.608048,-31.430000,-47.459999,22.610001,21.94
442026,0.744200,0.040504,0.591944,-30.870001,-45.570000,24.500000,21.90
442037,0.754448,-0.002440,0.555344,-25.410000,-43.330002,25.900000,21.90
442048,0.773480,-0.061976,0.479704,-17.850000,-39.619999,28.350000,21.89
442059,0.763232,-0.015616,0.443592,-17.290001,-37.380001,33.180000,21.89
442070,0.776408,0.016592,0.444568,-18.900000,-34.020000,37.799999,21.93
442081,0.784704,0.028792,0.452864,-20.020000,-30.660000,42.490002,21.93
442092,0.807640,0.000976,0.476288,-22.610001,-26.670000,46.270000,21.93
442103,0.809104,0.009272,0.519720,-23.100000,-24.709999,50.680000,21.94
442114,0.825696,-0.052216,0.518744,-22.049999,-20.510000,54.040001,21.94
442125,0.809592,-0.102480,0.521672,-25.760000,-18.760000,56.910000,21.95
